GHA275,12.9,,
GHA276,13.9,,
GHA277,15,,
GHA278,7,,
GHA279,6.1,,
GHA280,10.5,,
GHA281,8.9,,
GHA282,10.4,,
GHA283,13.1,,
GHA284,100,,
GHA285,9.3,,
GHA286,8.4,,
GHA287,19.8,,
GHA288,11.5,,
GHA289,99,,
GHA290,7.9,,
GHA291,6,,
GHA292,7,,
GHA293,14.2,,
GHA294,5.1,,
GHA295,8.3,,
GHA296,12.6,,
GHA297,5.3,,
GHA298,12,,
GHA299,17.5,,
GHA300,15.1,,
GHA301,11.9,,
GHA302,10.9,,
GHA303,7.4,,
GHA304,7.9,,
GHA305,16.4,,
GHA306,13.2,,
GHA307,4.5,,
GHA308,11.6,,
GHA309,100.6,,
GHA310,7.4,,
GHA311,4.2,,
GHA312,20.5,,
GHA313,11.2,,
GHA314,17.4,,
GHA315,7.9,,
GHA316,13,,
GHA317,6.9,,
GHA318,11,,
GHA319,11.5,,
GHA320,10.5,,
GHA321,100.3,,
GHA322,8.3,,
GHA323,9.1,,
GHA324,9.2,,
GHA325,6.8,,
GHA326,4.3,,
GHA327,7.5,,
GHA328,13.1,,
GHA329,12.4,,
GHA330,10.2,,
GHA331,8.3,,
GHA332,16.5,,
GHA334,97.2,,
GHA335,6,,
GHA336,5.4,,
GHA337,9.8,,
GHA338,10.6,,
GHA339,100.5,,
GHA340,13.3,,
GHA341,14.5,,
GHA342,12.6,,
GHA343,11.2,,
GHA344,6.2,,
GHA345,12.5,,
GHA346,10.3,,
GHA347,12,,
GHA348,5.5,,
GHA349,6.6,,
GHA350,14.3,,
GHA351,8.2,,
GHA352,15.8,,
GHA353,10.6,,
GHA354,13.6,,
GHA355,15.9,,
GHA356,7.8,,
GHA358,11.4,,
GHA359,11.1,,
GHA360,12.8,,
GHA361,22.1,,
GHA362,97.8,,
GHA363,9,,
GHA364,8.5,,
GHA365,25.4,,
GHA366,8.7,,
GHA367,6.1,,
GHA368,11.4,,
GHA369,7.3,,
GHA370,15.3,,
GHA371,7.3,,
GHA372,10.9,,
GHA373,9.7,,
GHA375,12.7,estava com nome trocado 374,
GHA376,12.9,,
GHA377,6,,
GHA378,14.4,,
GHA379,12,,
GHA380,8.1,,
GHA381,8.8,,
GHA382,15.6,,
GHA383,6.7,,
GHA384,16.9,,
GHA385,10.8,,
GHA387,10.1,,
GHA388,8.3,,
GHA389,12.2,,
GHA390,12.3,,
GHA391,11,,
GHA392,96.5,,
GHA393,5.5,,
GHA394,13,,
GHA395,6.9,,
GHA396,8.6,,
GHA397,10.3,,
GHA398,15.8,,
GHA399,12.9,,
GHA400,100.4,,
GHA401,8.1,,
GHA402,10.5,,
GHA403,8.4,,
GHA404,12.2,,
GHA405,7.9,,
GHA406,8.2,,
GHA407,19.3,,
GHA408,99,,
GHA409,4.9,,
GHA410,16.4,,
GHA411,15.4,,
GHA412,6.5,,
GHA413,7.8,,
GHA414,5.2,,
GHA415,15,,
GHA416,15.9,,
GHA417,5,,
GHA418,9.6,,
GHA419,99.7,,
GHA420,16.7,,
GHA421,14.5,,
GHA422,14.9,,
GHA423,100.2,,
GHA424,15.7,,
GHA425,9.6,Não estava na lista,
GHA426,18.5,,
GHA427,10.6,,
,,"não existe essa amostra, conferir",
GHA429,9.7,,
GHA430,14.8,,
GHA431,6.5,,
GHA432,11.9,,
GHA433,6.9,,
GHA434,7.8,,
GHA435,9.2,,
GHA436,9.7,,
GHA437,8.5,,
GHA438,12,,
GHA439,7.7,,
GHA440,15.3,,
GHA441,99.5,,
GHA442,7,,
GHA443,8.6,,
GHA444,9.4,,
GHA445,9.3,,
GHA446,12.1,,
GHA447,5,,
GHA448,5.5,,
GHA449,5.4,,
GHA450,8.5,,
GHA451,10.4,,
GHA452,9.8,,
GHA453,17.9,,
GHA454,16.5,,
GHA455,15,,
GHA456,10,,
GHA457,7.3,,
GHA458,9.5,,
GHA459,26.3,,
GHA460,26.8,,
GHA461,21.7,com backing,
GHA462,25.6,,
GHA463,15.8,,
GHA464,17.8,,
GHA465,31.7,,
GHA466,19.7,,
GHA467,14.3,,
GHA468,20.3,,
GHA469,12.8,,
GHA470,20.2,,
GHA471,24.9,,
GHA472,21.6,,
GHA473,12.5,,
GHA474,14.5,,
GHA475,19.3,,
GHA476,12.5,,
GHA477,20.5,,
GHA478,22.5,,
GHA479,24.8,,
GHA480,13.2,,
GHA481,24.2,,
GHA482,18.2,,
GHA483,18.9,,
GHA484,99.8,,
GHA485,12.4,,
GHA486,14.4,,
GHA487,9,,
GHA488,11.1,,
GHA489,11.7,,
GHA490,18.3,,
GHA491,15.1,,
GHA492,99,,
GHA493,16.4,,
GHA494,18.8,,
GHA495,16.2,furado,
GHA496,19.4,,
GHA497,20.7,,
GHA498,16.5,,
GHA499,17.7,,
GHA500,19.2,,
GHA501,20.2,,
GHA502,24.2,,
GHA503,23.4,,
GHA504,19.8,,
GHA506,20.8,,
GHA507,21.5,,
GHA508,20.6,,
GHA509,12.8,,
GHA510,13.7,,
GHA511,4.7,,
GHA512,8.9,,
GHA513,11.1,,
GHA514,15.7,,
GHA515,18.7,,
GHA516,9.4,,
GHA517,9.1,,
GHA518,6.1,,
GHA519,11.5,,
GHA520,58.1,,
GHA521,16.2,,
GHA522,65.2,,
GHA523,20.8,,
GHA524,10.1,,
GHA525,20.6,,
GHA526,24.8,,
GHA527,6.8,,
GHA528,17.3,,
GHA529,16.2,,
GHA530,12.5,,
GHA531,6.8,,
GHA532,6.9,,
GHA533,13.9,,
GHA534,101.8,,
GHA535,6.3,,
GHA536,5.6,,
GHA550,13.8,,
GHA551,97.8,,
GHA552,16.4,,
GHA554,16.8,,
GHA555,16.7,,
GHA556,98.2,,
GHA557,15.3,,
GHA558,10.7,,
GHA559,11,,
GHA560,7.4,,
GHA561,11.8,,
GHA562,8,,
GHA563,6.2,,
GHA564,9.4,,
GHA565,11.3,,
GHA566,9.4,,
GHA567,14.9,,
GHA568,14.9,,
GHA569,14.9,,
GHA570,6.8,,
GHA571,20.6,,
GHA572,17.6,,
GHA573,15.4,,
GHA575,19.8,,
GHA576,15.4,,
GHA577,22,,
GHA578,98,,
GHA579,21,,
GHA580,14.9,,
GHA581,19.6,,
GHA582,18.3,,
GHA583,14.6,,
GHA584,99.2,,
GHA585,13.2,,
GHA586,14.7,,
GHA587,16.2,,
GHA588,16.1,,
GHA589,17.9,,
GHA590,21.9,,
GHA591,16.2,,
GHA592,16.9,,
GHA593,21.5,,
GHA594,19.1,,
GHA596,23.2,,
GHA597,20.8,,
GHA598,98,,
GHA599,21.2,,
GHA600,28.3,,
GHA601,16.7,backing,
GHA602,22.8,,
GHA603,98.9,,
GHA604,17.4,,
GHA605,11.9,,
GHA606,17.5,backing,
GHA607,19.8,backing,
GHA608,20.4,backing,
GHA609,20.7,backing,
GHA610,18.6,,
GHA611,17.8,,
GHA612,14.5,,
GHA613,7.5,,
GHA614,9.7,,
GHA615,14.6,,
GHA616,19.3,,
GHA617,11.9,,
GHA618,11.5,,
GHA619,22.3,,
GHA620,14.1,,
GHA621,16,,
GHA622,15.5,,
GHA623,25.7,,
GHA624,22,,
GHA625,18.2,,
GHA626,16.2,,
GHA627,12.8,,
GHA628,98.5,,
GHA629,11.2,,
GHA630,9.1,,
GHA631,11.7,,
GHA632,15.6,,
GHA633,20.4,,
GHA634,15.4,,
GHA635,20,,
GHA636,97.6,,
GHA637,96.8,,
GHA638,9.1,,
GHA639,10.3,,
GHA640,8.2,,
GHA641,12.4,,
GHA642,24.8,,
GHA643,14.3,,
GHA644,8.5,,
GHA645,18.2,,
GHA646,19.5,,
GHA647,19.2,,
GHA648,20.8,,
GHA649,98.9,,
GHA650,14.5,,
GHA651,25.4,,
gha652,34.2,"Não estava na lista, no espectro está como 656",
GHA653,23.2,,
GHA654,20,,
GHA655,24.6,,
GHA657,18.6,,
GHA658,16.4,,
GHA659,23.8,,
GHA660,8.3,,
GHA661,16.8,,
GHA662,18.6,,
GHA663,21.1,,
GHA664,12.3,,
GHA665,14.2,,
GHA666,14,,
GHA667,7.4,,
GHA668,15.8,,
GHA669,10.8,,
GHA670,27.1,,
GHA671,15.6,,
GHA672,50.4,,
GHA673,19.3,,
GHA674,27.1,,
GHA675,9.3,,
GHA676,13.8,,
GHA677,20.8,,
GHA678,28.6,,
GHA679,14,,
GHA680,21.7,,
GHA681,27.8,,
GHA682,95.6,,
GHA683,11,,
GHA684,30.3,,
GHA685,33.4,,
GHA686,98.8,,
GHA687,34.2,,
GHA688,98.5,pequeno furo,
GHA689,18.5,,
GHA690,10.7,,
GHA691,25.8,,
GHA692,15.6,,
GHA693,20,,
GHA694,99.3,,
GHA695,8.5,,
GHA696,30.5,,
GHA697,21.9,,
GHA698,17.6,,
GHA699,18,,
GHA700,30.8,,
GHA701,28.5,,
GHA702,11.3,,
GHA703,22.8,,
GHA704,19.3,,
GHA705,19.5,,
GHA706,13.5,,
GHA707,14.1,,
GHA708,8.3,,
GHA709,14.6,,
GHA710,25.7,,
GHA711,24.3,,
GHA712,22,,
GHA713,9.6,,
GHA714,17.6,,
GHA716,12.2,,
GHA717,13.9,,
GHA718,102,,
GHA719,19,,
GHA720,22.7,,
GHA721,8.1,,
GHA722,14.3,,
GHA723,20,,
GHA724,15.2,,
GHA725,8.3,,
GHA727,7.3,,
GHA728,14.1,,
GHA729,15.5,,
GHA730,8.7,,
GHA731,12.7,,
GHA732,15.4,,
GHA733,8.6,,
GHA734,7.2,,
GHA735,13.2,,
GHA736,11.3,,
GHA737,5.6,,
GHA738,13.6,,
GHA739,10,,
GHA740,6.8,,
GHA741,8.5,,
GHA742,12.9,,
GHA743,13.2,,
GHA744,11,,
GHA745,19.3,,
GHA746,19.6,,
GHA747,15.2,,
GHA748,11.1,,
GHA749,16.2,,
GHA750,15.8,,
GHA751,,rasgado,
GHA752,7.1,,
GHA753,12.2,,
GHA754,16,,
GHA755,10.7,,
GHA756,17.6,,
GHA757,11,,
GHA758,23.8,,
GHA759,19.2,,
GHA760,12.7,,
GHA761,10.5,,
GHA762,99.7,,
GHA763,11,,
GHA764,5,,
GHA765,12.6,,
GHA766,39.7,,
GHA767,18.7,,
GHA768,25.4,,
GHA769,22.4,,
GHA770,7.9,,
GHA771,21.1,,
GHA772,97.8,,
GHA773,17.9,,
GHA774,14.6,,
GHA775,7.3,,
GHA776,10.9,,
GHA777,9.2,,
GHA778,17,,
GHA779,13.7,,
GHA780,14.9,,
GHA781,18.3,,
GHA782,6.9,,
GHA783,19.1,,
GHA784,18.2,,
GHA785,18.3,,
GHA786,10.9,,
GHA787,15.5,,
GHA788,18.9,,
GHA789,23.2,,
GHA790,24.3,,
GHA791,12.2,,
GHA792,17.9,,
GHA793,19.4,,
GHA794,98,,
GHA795,13.4,,
GHA796,21.9,,
GHA797,20.5,,
GHA798,17.4,,
GHA799,17.5,,
GHA800,23.2,,
GHA801,8,,
GHA802,14.4,,
GHA803,21,,
GHA804,15.2,,
GHA805,27.7,,
GHA806,27.6,,
GHA807,102.8,,
GHA808,9.8,,
GHA809,28.9,,
GHA810,33.8,,
GHA811,22,,
GHA812,24.2,,
GHA813,20.4,,
GHA814,29.2,,
GHA815,23.1,,
GHA816,23.4,,
GHA817,28.9,,
GHA818,19,,
GHA819,13.1,,
GHA820,16.4,,
GHA821,28.7,,
GHA822,26.3,,
GHA823,18.8,,
GHA824,29.1,,
GHA825,14.6,,
GHA826,28.4,,
GHA827,18.8,,
GHA828,21.8,,
GHA829,17.9,,
GHA830,14.4,,
GHA831,23,,
GHA832,9.5,,
GHA833,19.1,,
GHA834,19.2,,
GHA835,19.8,,
GHA836,15.4,,
GHA837,23.9,,
GHA838,23.7,,
GHA839,21.8,,
GHA840,22.9,,
GHA841,28.2,,
