AFR-225,85,,
AFR-226,94.3,,
AFR-227,13.1,,
AFR-228,14.2,,
AFR-229,13.1,,
AFR-230,10.8,,
AFR-231,9.3,,
AFR-232,28.7,,
AFR-233,22.5,,
AFR-234,18,,
AFR-235,17.4,,
AFR-236,12.8,,
AFR-237,30.8,,
AFR-238,94.7,,
AFR-239,96.9,,
AFR-240,89.5,,
AFR-241,93.3,,
AFR-242,89.9,,
AFR-243,89.7,,
AFR-244,89.1,,
AFR-245,85.1,,
AFR-246,89.6,,
AFR-247,84.4,,
AFR-248,89.3,,
AFR-249,89.3,,
AFR-250,84.5,,
AFR-251,90.5,,
AFR-252,89.3,,
AFR-253,91.8,,
AFR-254,91.6,,
AFR-255,97,,
AFR-256,93.7,,
AFR-257,84.4,,
AFR-258,85.3,precisa trocar caixinha,
AFR-259,91.3,precisa trocar caixinha,
AFR-260,,Chegou totalmente rasgado,
AFR-261,92.3,,
AFR-262,93,,
AFR-263,91.4,,
AFR-264,76.6,,
AFR-265,77.5,,
AFR-266,63.3,,
AFR-267,74.1,,
AFR-268,74.9,,
AFR-269,64.7,,
AFR-270,33.7,,
AFR-271,6.9,,
AFR-272,23.2,,
AFR-273,23,,
AFR-274,8.6,,
AFR-275,23.5,,
AFR-276,18,,
AFR-277,12.9,,
AFR-278,15.2,,
AFR-279,20.4,,
AFR-280,21.5,,
AFR-281,102.4,,
AFR-282,15.3,,
AFR-283,9.2,,
AFR-284,5,,
AFR-285,20.5,,
AFR-286,13.2,,
AFR-287,13.9,,
AFR-288,6.6,,
AFR-289,15.4,,
AFR-290,7.4,,
AFR-291,12.9,,
AFR-292,28.7,,
AFR-293,12.6,,
AFR-294,93.6,,
AFR-295,98.8,,
AFR-296,92.9,,
AFR-297,87.5,,
AFR-298,101.3,,
AFR-299,88.9,,
AFR-300,18.1,,
AFR-301,15.8,não estava na lista,
AFR-302,8.1,não estava na lista,
AFR-303,10.4,não estava na lista,
AFR-304,15.2,não estava na lista,
AFR-305,16.2,não estava na lista,
AFR-306,27.8,não estava na lista,
AFR-307,99.9,não estava na lista,
AFR-308,97.4,não estava na lista,
AFR-309,8.1,não estava na lista,
AFR-310,17.1,não estava na lista,
AFR-311,101.2,,
AFR-312,11.2,,
AFR-313,10.5,,
AFR-314,29.8,,
AFR-315,18.4,,
AFR-316,23.7,,
AFR-317,15,,
AFR-318,10.8,backing,
AFR-319,30.6,,
AFR-320,13.7,,
AFR-321,19.1,,
AFR-322,7.5,,
AFR-323,20.6,,
AFR-324,96.3,,
AFR-325,86.1,,
AFR-326,94,,
AFR-327,12.1,,
AFR-328,26.3,,
AFR-329,14.1,,
AFR-330,10.9,,
AFR-331,12.6,,
AFR-332,15.4,,
AFR-333,16.2,,
AFR-334,13.5,,
AFR-335,22.4,,
AFR-336,10.7,,
AFR-337,13.3,,
AFR-338,31.3,,
AFR-339,8,,
AFR-340,15.8,,
AFR-341,18.9,,
AFR-342,34.6,,
AFR-343,11.7,,
AFR-344,17.5,,
AFR-345,102.8,,
AFR-346,28.3,,
AFR-347,10.7,,
AFR-348,28.9,,
AFR-349,14.5,,
AFR-350,8.5,,
AFR-351,21.2,,
AFR-352,18.9,,
AFR-353,13.9,,
AFR-354,21.3,,
AFR-355,15.9,,
AFR-356,102.1,,
AFR-357,26.8,,
AFR-358,37.7,,
AFR-359,33.2,,
AFR-360,102.4,,
AFR-361,19.1,,
AFR-362,69,,
AFR-363,8.5,,
AFR-364,21.3,,
AFR-365,11.1,,
AFR-366,93.7,,
AFR-367,16.6,,
AFR-368,13.6,,
AFR-369,12.2,,
AFR-370,15.3,,
AFR-371,23.6,,
AFR-372,11.6,,
AFR-373,9.8,,
AFR-374,15.9,,
AFR-375,70.5,,
AFR-376,58.8,,
AFR-377,63.9,,
AFR-378,72.6,,
AFR-379,67.2,,
AFR-380,66.8,,
AFR-381,65.5,,
AFR-382,65.4,,
AFR-383,29.3,,
AFR-384,75.6,,
AFR-385,51.8,,
AFR-386,74.2,,
AFR-387,80.6,furado,
AFR-388,79.6,,
AFR-389,70.3,,
AFR-390,17,não estava na lista,
AFR-391,8.2,não estava na lista,
AFR-392,19.7,não estava na lista,
AFR-393,101.8,não estava na lista,
AFR-394,19.4,não estava na lista,
AFR-395,38.8,não estava na lista,
AFR-396,98.6,não estava na lista,
AFR-397,13.4,não estava na lista,
AFR-398,42.6,não estava na lista,
AFR-399,11.5,não estava na lista,
AFR-400,9,não estava na lista,
AFR-401,28.6,não estava na lista,
AFR-402,15.4,não estava na lista,
AFR-403,11,não estava na lista,
AFR-404,14.6,não estava na lista,
AFR-405,28.6,não estava na lista,
AFR-406,28.7,não estava na lista,
