**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.00926,  0.00815,  0.00925,  0.00928,  0.01042,  0.01053,  0.00956,  0.00074,  0.07697,  0.07945
V,  0.00063,  0.00057,  0.00063,  0.00064,  0.00066,  0.00072,  0.00064,  0.00004,  0.05722,  0.05822
Mn,  0.00374,  0.00335,  0.00374,  0.00380,  0.00401,  0.00419,  0.00384,  0.00022,  0.05853,  0.06006
Fe,  0.11497,  0.10178,  0.11485,  0.11510,  0.12726,  0.12759,  0.11833,  0.00803,  0.06788,  0.06986
Zn,  0.01291,  0.01167,  0.01253,  0.01291,  0.01366,  0.01491,  0.01306,  0.00087,  0.06644,  0.06723
Br,  0.00238,  0.00001,  0.00063,  0.00237,  0.00323,  0.00345,  0.00205,  0.00126,  0.61402,  0.52959
Pb,  0.00699,  0.00633,  0.00689,  0.00699,  0.00736,  0.00804,  0.00709,  0.00044,  0.06200,  0.06290
BC,  1.85150,  1.67180,  1.85173,  1.89035,  1.92443,  2.10840,  1.88855,  0.10644,  0.05636,  0.05749

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  5.78010,  3.39230,  3.79818,  5.78020,  6.95905,  7.39500,  5.51920,  1.44306,  0.26146,  0.24966
Na,  0.09485,  0.08128,  0.08567,  0.09485,  0.10889,  0.11411,  0.09625,  0.01149,  0.11935,  0.12111
Mg,  0.00555,  0.00434,  0.00468,  0.00555,  0.00890,  0.00987,  0.00639,  0.00206,  0.32146,  0.37038
Al,  0.00561,  0.00560,  0.00561,  0.00576,  0.00741,  0.00805,  0.00629,  0.00097,  0.15371,  0.17243
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
P,  0.00722,  0.00636,  0.00669,  0.00723,  0.00826,  0.00864,  0.00737,  0.00080,  0.10845,  0.11064
