**** Analysis Summary ****

Time of run: ,03/27/16 12:41
Concentration file: ,E:\pmf_fa\RFcH.csv
Uncertainty file: ,E:\pmf_fa\RFcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    4,10.12081,190.43191,71.35282,47.99961,58.92199,79.17035,14.64110,73.54999,173.33602,315.21227,6.05191,4.56587,87.14419,12.07966,209.02898,1.77276,41.03458,206.95082,
8                    5,8.83406,362.98055,83.69373,50.38339,62.72192,131.80280,23.62097,93.50184,122.58312,305.58323,7.62521,5.76251,87.94705,15.02857,221.99759,2.69233,51.10129,152.44048,
8                    6,0.00370,0.26106,0.04208,0.05565,0.08524,0.05299,0.06904,0.06200,0.06322,0.15030,0.00866,0.00631,0.02627,0.02359,0.24091,0.04649,0.04318,0.08908,
8                    7,0.45694,204.54327,45.38169,23.45013,27.52424,4.64612,8.10438,95.98629,22.29357,130.95473,5.79726,12.82997,14.61221,8.05968,113.72836,0.79424,30.90599,34.70701,
9                    1,8.23714,144.58673,63.89199,32.14412,36.68734,80.83772,16.92707,38.00640,118.87474,344.96291,7.80264,18.91877,82.33945,17.25538,52.68474,1.12238,7.08010,119.84300,
9                    2,10.83263,165.05774,51.76064,31.14753,30.39868,94.13682,23.34978,83.00254,189.45320,312.66311,11.49557,26.06973,62.99773,21.80144,117.68227,2.29402,22.95507,181.08147,
9                    3,0.50176,229.52217,48.13381,23.45310,27.80406,4.39595,8.89018,97.58145,24.00118,139.99097,6.30300,14.93029,15.11356,8.91209,131.44636,0.98374,34.90281,37.55763,
9                    4,8.23447,144.62028,63.89840,32.14525,36.68283,80.87543,16.91914,37.99958,118.86282,344.98523,7.80613,18.91474,82.33323,17.25548,52.65667,1.12189,7.08333,119.83899,
9                    5,7.09664,273.83967,81.05215,36.23718,42.62935,130.98624,27.03533,75.46743,75.85367,313.78487,7.85503,17.87022,83.31752,16.74637,53.46679,1.53975,15.19008,79.30865,
9                    6,0.49934,228.97017,48.32420,23.39635,27.76177,4.43835,8.35149,97.47766,23.92584,140.76189,6.28761,15.05273,15.06305,8.95269,134.07197,1.01950,35.35577,37.43733,
9                    7,0.01738,2.34839,0.42705,0.39473,0.46178,0.06012,0.10572,0.79419,0.34204,1.13092,0.12871,0.16812,0.21858,0.14276,2.61001,0.02319,0.17555,0.55008,
9                    8,0.54288,226.65359,47.94036,24.21256,28.60593,4.99249,8.90165,97.63757,24.81820,140.43791,6.34878,14.78922,15.02507,8.91752,126.81591,0.86573,33.81834,37.27953,
10                    1,8.57151,133.39301,64.41999,36.20012,42.94773,80.24846,16.87575,34.98454,119.47823,356.29039,7.15089,16.37865,89.83291,16.60955,60.61515,1.22937,8.18341,125.86130,
10                    2,11.15039,141.62739,50.46843,34.19298,35.30550,92.61311,23.69294,79.77163,189.29366,326.83287,11.14168,24.36320,68.56386,21.92731,123.78725,2.23639,21.18214,190.83902,
10                    3,0.42033,204.83355,44.41568,23.06534,27.09357,4.01659,8.55974,97.29988,21.57599,130.51216,5.68195,12.07305,15.17183,7.89381,114.58539,0.87314,30.83166,38.58170,
10                    4,8.56879,133.44053,64.42218,36.20215,42.94229,80.28608,16.86978,34.98361,119.46887,356.30881,7.15367,16.37479,89.82633,16.60972,60.60000,1.22848,8.18901,125.86004,
10                    5,7.45015,273.09501,82.53525,41.13362,49.16093,130.79632,27.51303,79.52992,79.17409,319.62956,7.90895,15.68232,90.03214,16.75078,75.70479,1.65426,17.10823,88.83983,
10                    6,0.41981,203.92492,44.62523,23.04988,27.09316,4.05799,8.06421,97.14572,21.55207,131.32370,5.67475,12.19045,15.15609,7.93933,117.07093,0.92839,31.26560,38.40243,
10                    7,0.00235,0.86776,0.15432,0.12647,0.26887,0.28973,0.45405,0.67908,0.08447,0.78831,0.06936,0.03267,0.12752,0.17355,0.19833,0.06920,0.10937,0.42038,
10                    8,0.45077,201.88411,44.20570,23.74216,27.83002,4.54204,8.62332,97.21273,22.25847,130.93626,5.71656,11.93402,15.00683,7.87257,110.35762,0.76262,29.79948,38.25953,
10                    9,0.02247,3.18465,0.60226,0.65543,0.90968,0.40450,0.60870,1.96549,0.51306,2.39742,0.26627,0.29243,0.48608,0.41284,3.96413,0.07905,0.32006,1.10126,
11                    1,9.97479,191.56630,70.75924,46.42976,57.27353,78.87101,14.38044,73.43733,172.85287,311.42455,6.06524,4.50180,86.23561,11.85703,217.63780,2.02269,42.23350,207.92854,
11                    2,11.12386,15.80634,59.57973,46.00757,62.35022,76.51906,13.43901,9.83412,181.50247,430.90834,7.08711,12.33196,91.10444,17.82873,127.92505,2.04633,14.10325,210.76362,
11                    3,0.00018,0.15160,0.00307,0.00265,0.00358,0.00793,0.08435,0.01579,0.00445,0.01318,0.00102,0.00098,0.01546,0.00309,0.02266,0.04378,0.00733,0.05688,
11                    4,9.97251,191.65163,70.75078,46.42502,57.25451,78.91655,14.37678,73.45244,172.85563,311.42332,6.06684,4.50059,86.21958,11.85594,217.66016,2.02031,42.24614,207.91382,
11                    5,8.69467,364.77196,82.59029,48.61310,60.79689,131.15259,23.30596,94.47308,121.88158,301.88045,7.59911,5.69528,86.79400,14.76387,231.62002,2.99867,52.24105,153.18352,
11                    6,0.00002,0.00040,0.00003,0.00003,0.00005,0.00018,0.00042,0.00011,0.00007,0.00009,0.00002,0.00001,0.00008,0.00003,0.00013,0.00005,0.00005,0.00033,
11                    7,0.42723,206.87092,45.81869,22.78284,26.86274,4.14731,7.61239,95.95530,21.62023,131.51852,5.75918,13.10134,14.72593,8.13530,120.47070,0.97650,32.39964,34.86799,
11                    8,0.00358,0.26271,0.04156,0.05466,0.08368,0.05013,0.06710,0.06056,0.06134,0.14615,0.00856,0.00634,0.02585,0.02335,0.23470,0.04712,0.04318,0.08695,
11                    9,0.50069,228.91583,48.32416,23.40193,27.77630,4.44704,8.34687,97.53107,23.95270,140.76221,6.28730,15.05531,15.06195,8.95179,133.94613,1.01598,35.35479,37.43140,
11                    10,0.42088,203.85020,44.62454,23.05407,27.10552,4.06463,8.06525,97.19272,21.57429,131.32119,5.67468,12.19278,15.15413,7.93814,116.96439,0.92482,31.26268,38.39278,
12                    1,11.20788,165.96201,72.57919,64.32853,67.83430,83.03916,16.83608,66.51511,154.69452,355.48016,7.03808,6.90766,92.72931,16.04154,127.67816,0.82829,26.42200,187.49566,
12                    2,12.36812,12.45809,57.22761,60.78307,68.84556,71.79764,17.60989,8.74237,176.96992,455.19102,8.03555,16.60014,87.84931,22.02454,85.01159,1.51407,12.12344,198.36756,
12                    3,0.34712,32.17848,9.89241,7.90591,6.92138,6.33611,8.35910,9.25495,7.09729,28.56131,1.15399,1.83293,4.84041,1.97145,42.96216,1.61008,8.34988,9.19116,
12                    4,11.20494,166.05178,72.58088,64.32162,67.81758,83.08428,16.83050,66.53985,154.69132,355.49664,7.04053,6.90651,92.71870,16.04093,127.67399,0.82882,26.43262,187.48300,
12                    5,9.76180,316.80206,89.42718,67.93848,75.25128,133.95593,22.87013,90.97049,100.09500,361.44281,7.45847,7.87515,97.72887,18.07849,112.13320,0.86863,36.98023,134.48207,
12                    6,0.35544,33.32643,9.96086,7.91840,6.96200,6.31846,7.20754,9.36590,7.13178,28.80155,1.15407,1.89521,4.85732,1.99938,44.12463,1.69407,8.54449,8.74918,
12                    7,0.72456,136.58101,33.47134,27.83063,28.59773,13.04895,10.09780,84.19439,15.55405,99.45887,5.06381,7.07380,12.43076,6.17743,53.36546,0.67842,14.72976,26.42580,
12                    8,0.30219,29.42820,9.16772,7.23965,6.32932,5.44949,7.44543,8.45324,6.60823,26.66072,1.08345,1.73247,4.36000,1.79690,39.07788,1.38718,7.60593,8.43760,
12                    9,0.90481,157.29178,34.78426,28.91434,29.99205,13.77741,10.57056,87.76524,17.96963,107.17289,5.46720,8.67093,13.19146,6.87816,57.27034,0.69235,16.45208,28.52158,
12                    10,0.71731,136.09984,32.78155,28.03609,28.62988,12.78023,10.51465,84.37011,15.70890,100.18280,4.99235,6.46705,12.44281,5.88386,52.32180,0.77655,13.90768,30.09041,
12                    11,0.35475,33.29919,9.95385,7.90801,6.95799,6.28764,7.14549,9.36112,7.12574,28.76583,1.15202,1.89623,4.84998,1.99795,44.03391,1.68777,8.54459,8.71085,
13                    1,6.86243,335.55208,23.10980,21.39521,26.79046,106.14632,15.39735,50.99426,118.20325,288.60195,9.60087,11.90666,73.13132,16.10311,84.76011,1.67963,8.31947,118.85377,
13                    2,9.21580,376.81646,15.74012,23.95505,25.09789,119.37386,23.58516,105.08850,184.56481,263.75711,12.27612,18.53890,62.04647,19.67507,140.17511,2.61824,26.36390,176.74676,
13                    3,1.28702,472.56735,56.78209,29.81456,38.54742,24.81181,12.59366,107.06552,38.41757,154.60405,7.31909,9.36538,20.28334,9.60937,147.44094,2.03273,38.66371,46.33003,
13                    4,6.86018,335.54057,23.15463,21.39255,26.78541,106.17224,15.39346,50.96706,118.18657,288.63410,9.60398,11.90414,73.12649,16.10509,84.71859,1.67984,8.31967,118.84432,
13                    5,6.03166,350.79490,33.30396,23.14344,32.40406,151.80986,17.90827,60.97838,67.90527,284.10134,8.61874,12.50391,82.85058,17.32143,54.74659,1.81027,15.16452,71.59160,
13                    6,1.27397,471.51700,56.66326,29.56200,38.24648,25.02623,12.00964,107.19868,38.08252,154.36334,7.28356,9.44485,20.08413,9.60929,149.68865,2.12166,39.11045,45.70705,
13                    7,0.64880,126.94632,37.38848,15.10092,21.03463,23.20094,6.39930,33.25985,11.38330,69.57915,2.92439,2.71245,11.06377,4.68765,28.51197,0.91645,4.97330,8.72365,
13                    8,1.38128,468.43860,56.92562,30.87177,39.79536,24.47002,12.76768,107.08503,40.02652,156.10142,7.40779,9.29743,20.22722,9.81066,142.80355,1.86442,37.64983,45.77211,
13                    9,0.48539,106.31195,33.73588,11.82842,16.99861,24.08661,6.13195,28.07953,8.37219,63.92603,2.35626,2.80159,9.38768,4.14256,21.76139,0.85411,4.04163,6.67966,
13                    10,0.65440,127.63401,35.60876,15.71141,21.87926,22.02830,6.13434,34.06301,11.88587,69.37544,2.95589,2.54696,11.51817,4.61729,29.86247,1.05495,4.75627,9.65617,
13                    11,1.27613,471.42308,56.66880,29.57439,38.27097,25.02331,12.03088,107.27068,38.12738,154.39074,7.28328,9.44708,20.07970,9.61021,149.56922,2.11862,39.11503,45.67775,
13                    12,2.31621,358.03832,48.47299,37.23296,44.35789,20.34781,13.95555,96.77099,35.97188,138.64092,6.73850,5.57786,17.32030,9.60275,59.89802,0.81840,18.49031,31.59651,
14                    1,0.00004,0.00089,0.00026,0.00022,0.00015,0.00020,0.00021,0.00052,0.00027,0.00050,0.00019,0.00004,0.00027,0.00008,0.00101,0.00005,0.00013,0.00038,
14                    2,3.16959,195.65714,9.56766,4.92665,8.92087,39.44495,9.92490,68.99157,67.26448,63.55426,4.80074,4.46345,23.36459,6.23797,67.85206,0.86501,19.78920,40.72673,
14                    3,9.99157,192.32743,70.95527,46.61811,57.45918,78.90296,14.74764,73.66706,172.87509,311.40045,6.06256,4.50634,86.38817,11.86901,214.56529,1.97789,41.89335,207.41237,
14                    4,0.00004,0.00066,0.00010,0.00022,0.00015,0.00014,0.00017,0.00037,0.00024,0.00051,0.00018,0.00003,0.00027,0.00008,0.00079,0.00004,0.00008,0.00036,
14                    5,0.90940,78.92790,6.71522,1.85003,4.34220,20.93634,6.61380,37.81783,28.67092,46.24431,3.22723,1.18776,8.77750,4.79200,30.22057,0.40216,5.11498,17.58965,
14                    6,9.97574,192.14137,70.76982,46.43018,57.22499,78.92330,14.39150,73.43330,172.77487,311.18717,6.05460,4.49353,86.22667,11.86148,217.69817,2.02380,42.25450,207.77379,
14                    7,8.54348,136.25479,67.59599,35.38091,41.55828,79.23754,16.37712,35.70328,119.82697,353.76786,7.26345,17.28930,87.03145,16.89516,57.79884,1.06865,8.02842,126.99806,
14                    8,10.12861,190.88908,71.37500,48.02496,58.91500,79.19117,14.65792,73.57016,173.27570,315.05657,6.04282,4.55870,87.17067,12.08466,208.90680,1.77008,41.04594,206.81638,
14                    9,8.24091,144.83973,63.95901,32.19057,36.69448,80.88694,16.92486,38.01132,118.77248,344.85245,7.79162,18.89731,82.38206,17.24522,52.42734,1.11983,7.08780,119.70559,
