**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.01993,  0.01679,  0.02116,  0.02601,  0.04250,  0.04918,  0.03062,  0.01132,  0.36964,  0.56791
Fe,  1.51390,  1.35240,  1.58053,  1.87110,  2.68650,  3.08080,  2.07440,  0.57802,  0.27865,  0.38181
Zn,  0.04563,  0.04330,  0.04664,  0.04918,  0.05130,  0.05873,  0.04932,  0.00400,  0.08117,  0.08773
Br,  0.00450,  0.00000,  0.00003,  0.00109,  0.00443,  0.01793,  0.00353,  0.00526,  1.49028,  1.16793
Pb,  0.01670,  0.01615,  0.01680,  0.01790,  0.01860,  0.02104,  0.01794,  0.00127,  0.07090,  0.07619

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 37.89800,  5.34580, 18.33575, 22.98050, 35.90500, 43.96400, 25.38907, 11.35924,  0.44741,  0.29973
Na,  0.00000,  0.00000,  0.00000,  0.03192,  0.04113,  0.04393,  0.02180,  0.02029,  0.93045,  0.00000
Mg,  0.30180,  0.08417,  0.16442,  0.21405,  0.29786,  0.35151,  0.21911,  0.08198,  0.37416,  0.27164
Al,  1.58220,  0.31172,  0.84647,  1.06200,  1.56565,  1.83030,  1.10942,  0.45623,  0.41124,  0.28835
Si,  4.42490,  0.79806,  2.25410,  2.90420,  4.34423,  5.12110,  3.04007,  1.30745,  0.43007,  0.29548
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00026,  0.00398,  0.00073,  0.00144,  1.98367,  0.00000
S,  0.13687,  0.11547,  0.14904,  0.16778,  0.19663,  0.24346,  0.17241,  0.03611,  0.20945,  0.26384
Cl,  0.17463,  0.06799,  0.16745,  0.20005,  0.25118,  0.30930,  0.19853,  0.06033,  0.30388,  0.34547
K,  0.52295,  0.21169,  0.32606,  0.38843,  0.50573,  0.61789,  0.41323,  0.11459,  0.27731,  0.21913
Ca,  0.97739,  0.23385,  0.53547,  0.67083,  0.96360,  1.13620,  0.69665,  0.27048,  0.38826,  0.27674
Ti,  0.13443,  0.01486,  0.06366,  0.08101,  0.12865,  0.15526,  0.08869,  0.04172,  0.47048,  0.31038
V,  0.00205,  0.00010,  0.00089,  0.00114,  0.00195,  0.00236,  0.00131,  0.00066,  0.50552,  0.32300
Mn,  0.02246,  0.00078,  0.00948,  0.01241,  0.02141,  0.02584,  0.01402,  0.00750,  0.53498,  0.33393
Fe,  1.22120,  0.11740,  0.56261,  0.71775,  1.16335,  1.41070,  0.79779,  0.38248,  0.47942,  0.31320
Zn,  0.00786,  0.00290,  0.00518,  0.00610,  0.00798,  0.00922,  0.00642,  0.00179,  0.27888,  0.22786
Br,  0.02879,  0.02354,  0.02645,  0.03024,  0.03242,  0.03567,  0.02964,  0.00341,  0.11498,  0.11839
Pb,  0.00514,  0.00311,  0.00418,  0.00473,  0.00540,  0.00618,  0.00475,  0.00080,  0.16876,  0.15594

Percent of Species Sum

Factor 1,,Statistics Over All Runs
