**** Analysis Summary ****

Time of run: ,04/10/16 02:07
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    3,0.00000,0.00003,0.00002,0.00001,0.00001,0.00013,0.00010,0.00008,0.00013,0.00007,0.00002,0.00001,0.00001,0.00003,0.00008,0.00010,0.00001,
8                    4,0.00000,0.00002,0.00002,0.00002,0.00003,0.00009,0.00009,0.00005,0.00015,0.00008,0.00002,0.00001,0.00002,0.00005,0.00008,0.00004,0.00001,
8                    5,0.00000,0.00001,0.00002,0.00000,0.00001,0.00002,0.00002,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00002,0.00001,0.00001,0.00000,
8                    6,0.00000,0.00002,0.00003,0.00000,0.00001,0.00003,0.00001,0.00002,0.00002,0.00003,0.00001,0.00001,0.00001,0.00002,0.00002,0.00003,0.00001,
8                    7,0.00000,0.00001,0.00001,0.00001,0.00001,0.00007,0.00004,0.00002,0.00005,0.00004,0.00001,0.00000,0.00001,0.00003,0.00004,0.00004,0.00001,
9                    1,0.00000,0.00000,0.00006,0.00001,0.00000,0.00002,0.00002,0.00003,0.00004,0.00004,0.00001,0.00001,0.00000,0.00001,0.00004,0.00002,0.00001,
9                    2,0.00000,0.00001,0.00001,0.00001,0.00000,0.00004,0.00002,0.00001,0.00003,0.00002,0.00000,0.00000,0.00001,0.00001,0.00002,0.00003,0.00000,
9                    3,0.00000,0.00003,0.00001,0.00001,0.00000,0.00009,0.00005,0.00007,0.00006,0.00007,0.00002,0.00001,0.00001,0.00002,0.00006,0.00005,0.00001,
9                    4,0.00000,0.00002,0.00002,0.00002,0.00002,0.00005,0.00004,0.00004,0.00007,0.00008,0.00002,0.00001,0.00002,0.00003,0.00009,0.00002,0.00001,
9                    5,0.00000,0.00001,0.00001,0.00000,0.00000,0.00001,0.00002,0.00001,0.00002,0.00002,0.00001,0.00000,0.00000,0.00001,0.00002,0.00003,0.00001,
9                    6,0.00000,0.00002,0.00001,0.00001,0.00001,0.00004,0.00004,0.00002,0.00006,0.00004,0.00001,0.00001,0.00001,0.00002,0.00003,0.00006,0.00001,
9                    7,0.00000,0.00001,0.00002,0.00001,0.00001,0.00004,0.00002,0.00002,0.00002,0.00005,0.00001,0.00000,0.00001,0.00002,0.00005,0.00001,0.00001,
9                    8,0.00000,0.00000,0.00003,0.00001,0.00000,0.00002,0.00002,0.00001,0.00003,0.00003,0.00000,0.00000,0.00000,0.00001,0.00003,0.00002,0.00000,
10                    1,0.00000,0.00001,0.00002,0.00001,0.00001,0.00007,0.00001,0.00003,0.00001,0.00004,0.00001,0.00001,0.00001,0.00001,0.00004,0.00003,0.00001,
10                    2,0.00000,0.00000,0.00003,0.00001,0.00001,0.00001,0.00001,0.00000,0.00002,0.00003,0.00001,0.00001,0.00001,0.00001,0.00002,0.00005,0.00001,
10                    3,0.00000,0.00002,0.00003,0.00001,0.00001,0.00019,0.00007,0.00007,0.00012,0.00007,0.00002,0.00001,0.00001,0.00002,0.00008,0.00005,0.00001,
10                    4,0.00000,0.00002,0.00003,0.00003,0.00002,0.00015,0.00007,0.00004,0.00015,0.00010,0.00002,0.00001,0.00002,0.00004,0.00010,0.00005,0.00001,
10                    5,0.00000,0.00001,0.00003,0.00001,0.00001,0.00005,0.00002,0.00001,0.00002,0.00002,0.00001,0.00001,0.00000,0.00001,0.00002,0.00004,0.00001,
10                    6,0.00000,0.00002,0.00003,0.00001,0.00001,0.00002,0.00003,0.00001,0.00003,0.00004,0.00001,0.00001,0.00001,0.00001,0.00003,0.00010,0.00001,
10                    7,0.00000,0.00000,0.00001,0.00001,0.00001,0.00011,0.00003,0.00002,0.00005,0.00005,0.00001,0.00000,0.00001,0.00002,0.00005,0.00001,0.00001,
10                    8,0.00000,0.00001,0.00001,0.00001,0.00000,0.00003,0.00002,0.00001,0.00001,0.00002,0.00001,0.00000,0.00000,0.00001,0.00002,0.00004,0.00000,
10                    9,0.00000,0.00001,0.00004,0.00001,0.00000,0.00005,0.00002,0.00001,0.00003,0.00003,0.00001,0.00001,0.00000,0.00002,0.00003,0.00002,0.00001,
11                    1,0.00000,0.00001,0.00004,0.00001,0.00001,0.00003,0.00002,0.00001,0.00002,0.00003,0.00000,0.00000,0.00001,0.00001,0.00001,0.00002,0.00000,
11                    2,0.00000,0.00000,0.00000,0.00001,0.00001,0.00002,0.00002,0.00001,0.00002,0.00001,0.00001,0.00000,0.00000,0.00001,0.00002,0.00004,0.00000,
11                    3,0.00000,0.00002,0.00000,0.00001,0.00000,0.00011,0.00006,0.00005,0.00008,0.00005,0.00002,0.00001,0.00001,0.00001,0.00005,0.00005,0.00001,
11                    4,0.00000,0.00001,0.00001,0.00001,0.00001,0.00007,0.00006,0.00004,0.00010,0.00005,0.00002,0.00001,0.00001,0.00003,0.00006,0.00004,0.00001,
11                    5,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00002,0.00001,0.00000,0.00001,0.00001,0.00002,0.00004,0.00000,
11                    6,0.00000,0.00002,0.00001,0.00001,0.00001,0.00003,0.00003,0.00002,0.00004,0.00003,0.00001,0.00001,0.00001,0.00001,0.00003,0.00008,0.00001,
11                    7,0.00000,0.00000,0.00002,0.00001,0.00000,0.00005,0.00002,0.00002,0.00002,0.00003,0.00001,0.00000,0.00000,0.00001,0.00002,0.00001,0.00000,
11                    8,0.00000,0.00001,0.00003,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00003,0.00000,0.00001,0.00001,0.00002,0.00002,0.00003,0.00001,
11                    9,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,0.00001,0.00001,0.00003,0.00001,0.00000,
11                    10,0.00000,0.00000,0.00003,0.00001,0.00001,0.00004,0.00001,0.00001,0.00001,0.00004,0.00001,0.00001,0.00001,0.00001,0.00003,0.00001,0.00001,
