**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.77040,  6.99540,  8.18388,  8.52940,  9.43205, 10.52600,  8.78118,  0.91679,  0.10440,  0.10453
Na,  0.51354,  0.51106,  0.53302,  0.55538,  0.57030,  0.58090,  0.55066,  0.02245,  0.04077,  0.04372
Mg,  0.06629,  0.04371,  0.05830,  0.06353,  0.07117,  0.07609,  0.06387,  0.00791,  0.12380,  0.11927
Al,  0.23488,  0.06532,  0.17012,  0.19934,  0.24481,  0.30191,  0.20436,  0.05884,  0.28791,  0.25050
Si,  0.62467,  0.28753,  0.50472,  0.55787,  0.65750,  0.77755,  0.57208,  0.12220,  0.21361,  0.19562
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00003,  0.00000,  0.00001,  2.66151,  0.00000
S,  0.05974,  0.04337,  0.05903,  0.06649,  0.07208,  0.07641,  0.06463,  0.00854,  0.13207,  0.14290
Cl,  1.07550,  1.06540,  1.10210,  1.13240,  1.19345,  1.23340,  1.14365,  0.05358,  0.04685,  0.04982
K,  0.04232,  0.02193,  0.03634,  0.04322,  0.04628,  0.05528,  0.04091,  0.00849,  0.20752,  0.20063
Ca,  0.26976,  0.26154,  0.26308,  0.26825,  0.29848,  0.34714,  0.28256,  0.02689,  0.09516,  0.09967
Ti,  0.02067,  0.01024,  0.01682,  0.01832,  0.02172,  0.02711,  0.01915,  0.00418,  0.21819,  0.20212
V,  0.00043,  0.00016,  0.00034,  0.00038,  0.00046,  0.00053,  0.00039,  0.00009,  0.23844,  0.21252
Mn,  0.00268,  0.00131,  0.00221,  0.00242,  0.00284,  0.00330,  0.00248,  0.00050,  0.20041,  0.18496
Fe,  0.26602,  0.13912,  0.22168,  0.24046,  0.28072,  0.33337,  0.24794,  0.04835,  0.19503,  0.18177
Zn,  0.00168,  0.00168,  0.00188,  0.00203,  0.00249,  0.00315,  0.00214,  0.00038,  0.17518,  0.22373
Br,  0.00143,  0.00079,  0.00134,  0.00164,  0.00188,  0.00194,  0.00159,  0.00032,  0.19992,  0.22274
Pb,  0.00041,  0.00019,  0.00038,  0.00050,  0.00061,  0.00066,  0.00049,  0.00013,  0.26032,  0.31136

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  9.11620,  6.24440,  7.67093,  9.78250, 11.17425, 13.40300,  9.57194,  2.10580,  0.22000,  0.23099
Na,  0.07486,  0.00000,  0.01231,  0.07215,  0.12018,  0.13746,  0.06822,  0.05167,  0.75741,  0.69020
Mg,  0.00876,  0.00000,  0.00000,  0.00731,  0.02015,  0.03493,  0.01119,  0.01252,  1.11819,  1.42844
Al,  0.39418,  0.21775,  0.33758,  0.43499,  0.52224,  0.65604,  0.42573,  0.12615,  0.29630,  0.32002
Si,  0.83927,  0.48735,  0.70868,  0.92208,  1.09470,  1.38130,  0.90264,  0.25855,  0.28644,  0.30807
P,  0.01096,  0.00726,  0.01003,  0.01119,  0.01364,  0.01567,  0.01144,  0.00244,  0.21323,  0.22252
S,  0.01765,  0.01197,  0.01489,  0.01889,  0.02180,  0.02621,  0.01856,  0.00421,  0.22675,  0.23840
Cl,  0.38526,  0.25124,  0.30249,  0.38321,  0.47468,  0.55032,  0.38296,  0.09709,  0.25353,  0.25202
K,  0.04058,  0.01389,  0.03596,  0.04409,  0.05762,  0.07766,  0.04527,  0.01767,  0.39025,  0.43544
Ca,  0.55670,  0.40930,  0.50363,  0.56504,  0.65991,  0.73002,  0.57546,  0.09834,  0.17088,  0.17664
Ti,  0.04094,  0.02585,  0.03605,  0.04438,  0.05200,  0.06145,  0.04342,  0.01048,  0.24146,  0.25607
V,  0.00025,  0.00009,  0.00017,  0.00027,  0.00038,  0.00058,  0.00029,  0.00014,  0.50372,  0.57484
Mn,  0.00385,  0.00228,  0.00329,  0.00424,  0.00500,  0.00620,  0.00413,  0.00114,  0.27521,  0.29503
Fe,  0.30865,  0.18482,  0.25577,  0.33725,  0.39799,  0.50922,  0.33137,  0.09447,  0.28509,  0.30608
Zn,  0.01145,  0.00854,  0.01063,  0.01134,  0.01364,  0.01532,  0.01176,  0.00203,  0.17293,  0.17753
