"Elemento","Z","Ka1","Ka2"
"Na",11,4175,
"Mg",12,4525,
"Al",13,4259,
"Si",14,4468,
"P",15,4563,
"S ",16,4408,
"Cl",17,4754,
"K",19,5060,
"Ca",20,7086,
"Ti",22,17118,
"V",23,25471,
"Cr",24,34149,
"Mn",25,55460,
"Fe",26,74003,
"Ni",28,107659,107543
"Cu",29,109890,109931
"Zn",30,114659,114647
"Se",34,130638,130838
"Br",35,126526,126823
"Kr",36,126447,126890
"Rb",37,125571,126054
"Sr",38,116848,117606
"Zr",40,110600,111350
