"Elemento","Z","L3M5","L3M4"
"Rb",37,1479,
"Sr",38,1443,
"Y",39,1568,
"Zr",40,1534,
"Nb",41,1491,
"Mo",42,1452,
"Rh",45,1687,
"Ba",56,6191,6077
"Ce",58,8856,8740
"Lu",71,32778,32807
"Hf",72,32237,32402
"Hg",80,30373,30402
"Pb",82,30809,30670
"Th",90,29163,29524
