"Elemento","Z","L3M5","L3M4"
"Rb",37,7309,
"Sr",38,7761,
"Y",39,9131,
"Zr",40,8488,
"Nb",41,9775,
"Mo",42,10085,
"Rh",45,10602,
"Ba",56,12142,11980
"Ce",58,15941,15155
"Lu",71,36796,36709
"Hf",72,37153,37080
"Hg",80,40593,40729
"Pb",82,41978,39940
"Th",90,38071,38551
