"Elemento","Z","L3M5","L3M4"
"Ni",28,4456,
"Cu",29,4436,
"Zn",30,4436,
"Br",35,5320,
"Rb",37,4689,
"Sr",38,4489,
"Zr",40,4550,
"Rh",45,5349,
"Ag",47,5428,
"Ba",56,16860,16587
"Hg",80,120814,120692
"Pb",82,127019,127069
