**** Analysis Summary ****

Time of run: ,04/10/16 01:50
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGcH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    3,0.00001,0.00009,0.00009,0.00004,0.00002,0.00005,0.00003,0.00004,0.00002,0.00002,0.00001,0.00001,0.00003,0.00002,0.00004,0.00003,0.00006,
8                    4,0.00001,0.00034,0.00005,0.00016,0.00006,0.00022,0.00013,0.00010,0.00012,0.00032,0.00005,0.00001,0.00010,0.00036,0.00063,0.00007,0.00006,
8                    5,0.00001,0.00007,0.00006,0.00004,0.00003,0.00015,0.00003,0.00003,0.00003,0.00006,0.00002,0.00001,0.00004,0.00004,0.00011,0.00005,0.00029,
8                    6,0.00000,0.00003,0.00004,0.00004,0.00002,0.00006,0.00002,0.00002,0.00003,0.00003,0.00001,0.00001,0.00005,0.00002,0.00007,0.00003,0.00003,
8                    7,0.00001,0.00035,0.00017,0.00019,0.00006,0.00024,0.00012,0.00011,0.00012,0.00036,0.00004,0.00002,0.00010,0.00033,0.00075,0.00015,0.00023,
9                    1,0.00002,0.00095,0.00037,0.00034,0.00016,0.00244,0.00024,0.00024,0.00018,0.00026,0.00002,0.00004,0.00020,0.00020,0.00077,0.00091,0.00346,
9                    2,0.00001,0.00067,0.00007,0.00021,0.00007,0.00027,0.00017,0.00024,0.00014,0.00042,0.00006,0.00002,0.00015,0.00038,0.00070,0.00004,0.00012,
9                    3,0.00001,0.00010,0.00004,0.00007,0.00003,0.00016,0.00004,0.00004,0.00004,0.00004,0.00001,0.00002,0.00003,0.00003,0.00009,0.00007,0.00067,
9                    4,0.00001,0.00038,0.00010,0.00020,0.00007,0.00036,0.00017,0.00010,0.00012,0.00030,0.00007,0.00002,0.00014,0.00033,0.00063,0.00008,0.00065,
9                    5,0.00000,0.00005,0.00004,0.00003,0.00001,0.00005,0.00003,0.00002,0.00002,0.00005,0.00001,0.00001,0.00002,0.00003,0.00006,0.00001,0.00003,
9                    6,0.00000,0.00005,0.00006,0.00004,0.00002,0.00008,0.00003,0.00002,0.00003,0.00003,0.00001,0.00001,0.00002,0.00002,0.00007,0.00007,0.00031,
9                    7,0.00001,0.00035,0.00015,0.00017,0.00006,0.00017,0.00014,0.00010,0.00010,0.00032,0.00005,0.00001,0.00009,0.00029,0.00069,0.00008,0.00006,
9                    8,0.00000,0.00003,0.00007,0.00005,0.00002,0.00012,0.00003,0.00002,0.00002,0.00002,0.00001,0.00001,0.00003,0.00003,0.00006,0.00006,0.00041,
10                    1,0.00001,0.00057,0.00024,0.00018,0.00008,0.00147,0.00016,0.00014,0.00011,0.00017,0.00002,0.00003,0.00013,0.00014,0.00042,0.00062,0.00126,
10                    2,0.00001,0.00055,0.00008,0.00022,0.00007,0.00032,0.00014,0.00016,0.00016,0.00044,0.00005,0.00003,0.00011,0.00039,0.00069,0.00009,0.00024,
10                    3,0.00000,0.00003,0.00001,0.00002,0.00002,0.00001,0.00002,0.00001,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,0.00004,0.00002,
10                    4,0.00001,0.00038,0.00010,0.00020,0.00008,0.00028,0.00014,0.00008,0.00013,0.00031,0.00006,0.00002,0.00017,0.00034,0.00076,0.00008,0.00002,
10                    5,0.00001,0.00007,0.00008,0.00007,0.00003,0.00019,0.00003,0.00003,0.00003,0.00007,0.00001,0.00001,0.00004,0.00005,0.00011,0.00006,0.00045,
10                    6,0.00001,0.00007,0.00007,0.00004,0.00003,0.00008,0.00002,0.00003,0.00002,0.00004,0.00001,0.00001,0.00002,0.00003,0.00006,0.00003,0.00008,
10                    7,0.00001,0.00039,0.00016,0.00022,0.00006,0.00028,0.00013,0.00009,0.00013,0.00035,0.00005,0.00002,0.00010,0.00030,0.00091,0.00017,0.00036,
10                    8,0.00001,0.00008,0.00008,0.00005,0.00003,0.00006,0.00002,0.00005,0.00002,0.00003,0.00001,0.00002,0.00006,0.00002,0.00006,0.00001,0.00004,
