**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 10

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.01233,  0.00086,  0.00087,  0.00867,  0.01196,  0.01262,  0.00680,  0.00522,  0.76675,  0.42313
V,  0.00080,  0.00050,  0.00054,  0.00060,  0.00078,  0.00081,  0.00064,  0.00011,  0.17403,  0.13854
Mn,  0.00508,  0.00357,  0.00357,  0.00412,  0.00494,  0.00514,  0.00427,  0.00062,  0.14626,  0.12309
Fe,  0.15396,  0.04711,  0.04721,  0.11217,  0.14764,  0.15643,  0.09855,  0.04717,  0.47869,  0.30640
Zn,  0.01627,  0.00852,  0.01033,  0.01075,  0.01631,  0.01824,  0.01258,  0.00327,  0.25980,  0.20082
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00481,  0.00047,  0.00143,  3.07979,  0.00000
Pb,  0.00886,  0.00630,  0.00679,  0.00743,  0.00888,  0.00973,  0.00774,  0.00114,  0.14758,  0.12879
BC,  2.16180,  1.89300,  2.05405,  2.16430,  2.33270,  2.33520,  2.15275,  0.16459,  0.07645,  0.07613

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  6.36100,  4.39760,  6.36150, 13.25150, 18.38025, 18.39600, 12.49094,  5.40283,  0.43254,  0.84937
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.05044,  0.00000,  0.00000,  0.00000,  0.03735,  0.05052,  0.01258,  0.02235,  1.77708,  0.44315
Al,  0.54663,  0.27905,  0.54645,  0.59293,  0.82686,  0.82772,  0.63306,  0.17075,  0.26972,  0.31236
Si,  1.07340,  0.41040,  1.07295,  1.14355,  1.61048,  1.61230,  1.21826,  0.36205,  0.29718,  0.33729
P,  0.00936,  0.00431,  0.00743,  0.00936,  0.01062,  0.01403,  0.00915,  0.00259,  0.28297,  0.27676
S,  0.08333,  0.00000,  0.08331,  0.09659,  0.11275,  0.17203,  0.08972,  0.04371,  0.48721,  0.52459
Cl,  0.21362,  0.00000,  0.00000,  0.05102,  0.17368,  0.21406,  0.06960,  0.08825,  1.26792,  0.41311
K,  0.00000,  0.00000,  0.00000,  0.18925,  0.28429,  0.28455,  0.15588,  0.12452,  0.79879,  0.00000
Ca,  0.34882,  0.29182,  0.34880,  0.47630,  0.64127,  0.64178,  0.48455,  0.13358,  0.27568,  0.38296
Ti,  0.04121,  0.02505,  0.04120,  0.05092,  0.06961,  0.06967,  0.05255,  0.01484,  0.28230,  0.36000
V,  0.00065,  0.00051,  0.00065,  0.00105,  0.00143,  0.00144,  0.00103,  0.00035,  0.34016,  0.53778
Mn,  0.00262,  0.00007,  0.00262,  0.00373,  0.00531,  0.00532,  0.00367,  0.00158,  0.43161,  0.60404
Fe,  0.37910,  0.26549,  0.37904,  0.48058,  0.65815,  0.65875,  0.49702,  0.13717,  0.27597,  0.36182
Zn,  0.00000,  0.00000,  0.00000,  0.01393,  0.01821,  0.01822,  0.01063,  0.00807,  0.75943,  0.00000
