**** Analysis Summary ****

Time of run: ,03/27/16 12:45
Concentration file: ,E:\pmf_fa\TFcH.csv
Uncertainty file: ,E:\pmf_fa\TFcHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    4,0.00463,6.04818,1.36693,0.33804,0.49496,1.00332,0.75711,2.66949,0.22479,1.42809,0.13925,0.09046,0.76150,0.18463,3.15207,0.20454,0.59188,1.02965,
8                    5,3.37954,55.05786,101.71388,12.55598,23.07949,188.78879,20.08367,17.91163,176.46353,220.34514,12.99859,7.01929,80.49704,23.96872,236.39530,8.23238,26.04182,281.87882,
8                    6,0.00446,6.11454,1.48122,0.38322,0.51655,1.03547,0.66141,2.92327,0.20687,1.46484,0.15070,0.07954,0.85952,0.18598,3.18440,0.24101,0.56737,1.25833,
8                    7,0.00000,0.00007,0.00012,0.00002,0.00004,0.00007,0.00010,0.00005,0.00006,0.00007,0.00002,0.00002,0.00003,0.00003,0.00011,0.00005,0.00003,0.00005,
9                    1,0.00000,0.00008,0.00008,0.00002,0.00001,0.00003,0.00003,0.00002,0.00001,0.00003,0.00001,0.00001,0.00002,0.00001,0.00004,0.00002,0.00002,0.00005,
9                    2,0.00000,0.00017,0.00008,0.00001,0.00002,0.00005,0.00006,0.00004,0.00004,0.00003,0.00001,0.00001,0.00004,0.00001,0.00004,0.00002,0.00002,0.00004,
9                    3,3.37786,54.25549,101.65259,12.53165,23.06750,188.97568,20.05364,17.81475,176.79340,220.45182,13.01433,7.01723,80.40978,24.00403,236.41064,8.24373,26.09233,281.96304,
9                    4,0.00459,6.03994,1.36549,0.33794,0.49390,1.00346,0.75376,2.66534,0.22537,1.42565,0.13900,0.08954,0.76029,0.18390,3.14128,0.20407,0.58984,1.02985,
9                    5,3.37831,55.06542,101.66045,12.54334,23.07233,188.77847,20.07513,17.92536,176.43113,220.29532,12.99801,7.01034,80.48859,23.97376,236.55511,8.23204,26.05552,281.91594,
9                    6,0.00444,6.10767,1.48086,0.38333,0.51601,1.03621,0.65993,2.92025,0.20817,1.46293,0.15046,0.07867,0.85842,0.18538,3.17695,0.24033,0.56573,1.25902,
9                    7,0.00001,0.00006,0.00005,0.00002,0.00001,0.00003,0.00004,0.00003,0.00002,0.00002,0.00001,0.00001,0.00003,0.00001,0.00002,0.00002,0.00001,0.00003,
9                    8,0.00001,0.00003,0.00008,0.00003,0.00004,0.00005,0.00005,0.00003,0.00007,0.00006,0.00001,0.00001,0.00004,0.00002,0.00011,0.00002,0.00003,0.00003,
10                    1,3.37932,54.99632,101.55726,12.53783,23.05700,188.77343,20.08242,17.90472,176.37747,220.30492,12.99898,7.01187,80.46757,23.98431,236.63914,8.23394,26.06090,282.08048,
10                    2,3.37934,54.99348,101.56040,12.53730,23.06099,188.79708,20.05402,17.90151,176.39119,220.32323,12.99858,7.01102,80.48894,23.98200,236.61271,8.22877,26.06300,282.04170,
10                    3,0.00003,0.01609,0.00035,0.00021,0.00053,0.00167,0.00312,0.00332,0.00142,0.00171,0.00035,0.00009,0.00085,0.00082,0.00088,0.00029,0.00355,0.00208,
10                    4,3.37667,61.59428,101.60574,13.08086,24.45103,181.69471,16.99761,23.45103,177.26457,219.25569,13.33779,6.07431,82.62227,23.78192,251.00982,7.90988,29.34132,287.13518,
10                    5,0.00001,0.00012,0.00005,0.00006,0.00019,0.00017,0.00009,0.00011,0.00006,0.00023,0.00004,0.00003,0.00017,0.00008,0.00010,0.00009,0.00005,0.00019,
10                    6,3.39052,62.29462,102.22437,13.14515,24.43993,181.00235,17.91054,23.41438,177.53985,219.62214,13.34042,6.23007,82.31775,23.83093,248.76441,7.94155,29.06235,287.47601,
10                    7,3.37944,54.98986,101.59899,12.54216,23.05928,188.78734,20.06774,17.90036,176.37884,220.30825,12.99876,7.01148,80.47684,23.97996,236.57037,8.23001,26.05510,282.04053,
10                    8,3.38020,54.99012,101.68933,12.54468,23.06162,188.77597,20.08288,17.89817,176.42293,220.34015,12.99857,7.02185,80.47104,23.97878,236.41562,8.23217,26.03822,281.96594,
10                    9,3.37896,54.99767,101.63585,12.53204,23.05446,188.76565,20.07436,17.91189,176.39054,220.29034,12.99798,7.01288,80.46259,23.98382,236.57546,8.23181,26.05192,282.00306,
11                    1,0.00508,6.23416,1.46667,0.38291,0.55899,1.41716,1.03073,2.88819,0.29023,1.46606,0.17100,0.09938,0.79629,0.23263,3.47364,0.25777,0.70179,0.82859,
11                    2,0.00509,6.21998,1.46845,0.38298,0.55923,1.41261,1.02658,2.88270,0.28832,1.46515,0.17113,0.09929,0.79551,0.23247,3.47165,0.25802,0.70229,0.83149,
11                    3,3.39649,61.19027,102.41297,13.21357,24.74860,179.84410,16.81547,23.07896,178.27612,220.47128,13.38723,6.11855,82.97749,23.98960,250.38177,7.88208,29.22529,287.97974,
