**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.01405,  0.00938,  0.01078,  0.01315,  0.01551,  0.02121,  0.01361,  0.00382,  0.28101,  0.27218
V,  0.00051,  0.00034,  0.00040,  0.00049,  0.00054,  0.00061,  0.00047,  0.00009,  0.18294,  0.17163
Mn,  0.00087,  0.00055,  0.00081,  0.00094,  0.00136,  0.00174,  0.00105,  0.00035,  0.33035,  0.40154
Fe,  0.14032,  0.09443,  0.10847,  0.13246,  0.15339,  0.19875,  0.13436,  0.03335,  0.24818,  0.23765
Zn,  0.00530,  0.00385,  0.00458,  0.00498,  0.00570,  0.00831,  0.00520,  0.00103,  0.19730,  0.19370
Br,  0.00000,  0.00000,  0.00000,  0.00001,  0.00110,  0.00292,  0.00057,  0.00096,  1.67462,11592164.40647
Pb,  0.00176,  0.00096,  0.00138,  0.00185,  0.00217,  0.00391,  0.00191,  0.00069,  0.36012,  0.39250
BC,  0.20196,  0.00000,  0.14216,  0.24505,  0.32620,  0.78875,  0.26727,  0.19079,  0.71384,  0.94468

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.54240,  7.70550,  8.54250,  9.06290,  9.96475, 10.66600,  9.16874,  0.84178,  0.09181,  0.09854
Na,  0.00301,  0.00000,  0.00014,  0.00124,  0.00452,  0.01141,  0.00266,  0.00334,  1.25695,  1.10865
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00153,  0.00009,  0.00034,  3.95807,31545.01238
Al,  0.07761,  0.05492,  0.07702,  0.08177,  0.08457,  0.09545,  0.08039,  0.00941,  0.11705,  0.12125
Si,  0.14858,  0.10494,  0.14719,  0.15938,  0.16391,  0.18734,  0.15636,  0.01885,  0.12055,  0.12686
P,  0.00000,  0.00000,  0.00000,  0.00001,  0.00015,  0.00032,  0.00008,  0.00012,  1.49582,  0.00000
S,  0.06723,  0.06348,  0.06728,  0.07252,  0.08229,  0.08937,  0.07480,  0.00796,  0.10640,  0.11840
Cl,  0.01951,  0.00431,  0.01572,  0.02007,  0.02726,  0.04213,  0.02116,  0.00913,  0.43138,  0.46788
K,  0.25091,  0.23133,  0.25098,  0.26533,  0.29498,  0.31954,  0.27071,  0.02548,  0.09413,  0.10156
Ca,  0.02216,  0.00080,  0.01458,  0.02282,  0.02933,  0.03774,  0.02266,  0.00953,  0.42057,  0.43009
Ti,  0.00455,  0.00255,  0.00421,  0.00468,  0.00516,  0.00609,  0.00472,  0.00083,  0.17477,  0.18133
V,  0.00031,  0.00025,  0.00030,  0.00033,  0.00034,  0.00039,  0.00032,  0.00003,  0.10095,  0.10505
Mn,  0.00217,  0.00193,  0.00214,  0.00233,  0.00249,  0.00269,  0.00232,  0.00020,  0.08808,  0.09397
Fe,  0.05622,  0.03714,  0.05563,  0.05965,  0.06286,  0.07400,  0.05921,  0.00848,  0.14322,  0.15084
Zn,  0.00833,  0.00702,  0.00801,  0.00867,  0.00914,  0.01009,  0.00859,  0.00074,  0.08584,  0.08857
Br,  0.00266,  0.00000,  0.00000,  0.00048,  0.00146,  0.00283,  0.00077,  0.00092,  1.19499,  0.34680
Pb,  0.00555,  0.00470,  0.00532,  0.00576,  0.00618,  0.00673,  0.00576,  0.00051,  0.08905,  0.09238
BC,  1.40030,  1.23570,  1.38323,  1.47625,  1.61378,  1.72900,  1.48785,  0.13598,  0.09140,  0.09711

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  0.63333,  0.63333,  0.99255,  1.49020,  1.76983,  2.04640,  1.40013,  0.42792,  0.30563,  0.67566
Na,  0.02200,  0.00901,  0.01113,  0.01804,  0.02324,  0.03080,  0.01806,  0.00697,  0.38585,  0.31670
Mg,  0.00002,  0.00000,  0.00000,  0.00031,  0.00146,  0.00281,  0.00078,  0.00093,  1.19793, 37.93431
Al,  0.01190,  0.00970,  0.01550,  0.02688,  0.03504,  0.03813,  0.02605,  0.00963,  0.36968,  0.80929
Si,  0.00223,  0.00210,  0.00882,  0.03353,  0.05207,  0.05833,  0.03180,  0.02053,  0.64556,  9.21047
P,  0.00018,  0.00000,  0.00000,  0.00005,  0.00028,  0.00087,  0.00016,  0.00024,  1.47781,  1.34701
S,  0.01664,  0.00167,  0.01024,  0.01736,  0.02521,  0.04761,  0.01909,  0.01253,  0.65643,  0.75311
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00532,  0.00041,  0.00132,  3.21885,145865.99398
K,  0.02067,  0.01462,  0.02691,  0.04419,  0.05710,  0.06354,  0.04118,  0.01592,  0.38647,  0.77016
Ca,  0.00678,  0.00000,  0.00242,  0.00759,  0.02141,  0.02705,  0.01093,  0.00923,  0.84427,  1.36222
Ti,  0.00057,  0.00033,  0.00053,  0.00150,  0.00229,  0.00275,  0.00145,  0.00085,  0.58364,  1.47786
V,  0.00010,  0.00008,  0.00011,  0.00013,  0.00015,  0.00016,  0.00013,  0.00002,  0.17294,  0.21927
Mn,  0.00010,  0.00010,  0.00028,  0.00034,  0.00044,  0.00051,  0.00035,  0.00011,  0.30371,  1.05256
