**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 23.70500, 23.65400, 23.66725, 23.69850, 23.89950, 24.64700, 23.84365,  0.31253,  0.01311,  0.01318
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.22471,  0.22445,  0.22459,  0.22466,  0.22470,  0.22479,  0.22464,  0.00008,  0.00034,  0.00034
Al,  1.44600,  1.44300,  1.44383,  1.44570,  1.45785,  1.50320,  1.45450,  0.01895,  0.01303,  0.01310
Si,  3.60660,  3.59930,  3.60140,  3.60580,  3.63368,  3.73740,  3.62585,  0.04343,  0.01198,  0.01204
P,  0.00099,  0.00095,  0.00096,  0.00099,  0.00125,  0.00227,  0.00119,  0.00042,  0.35141,  0.42142
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl,  0.03315,  0.03254,  0.03268,  0.03309,  0.03668,  0.05085,  0.03583,  0.00576,  0.16082,  0.17382
K,  0.20904,  0.20867,  0.20881,  0.20901,  0.21016,  0.21437,  0.20981,  0.00178,  0.00846,  0.00849
Ca,  0.80122,  0.79915,  0.79951,  0.80096,  0.81119,  0.84976,  0.80849,  0.01597,  0.01976,  0.01994
Ti,  0.11576,  0.11551,  0.11557,  0.11573,  0.11679,  0.12072,  0.11650,  0.00164,  0.01410,  0.01419
V,  0.00196,  0.00196,  0.00196,  0.00196,  0.00198,  0.00203,  0.00197,  0.00002,  0.01108,  0.01113
Mn,  0.01759,  0.01756,  0.01757,  0.01759,  0.01769,  0.01808,  0.01766,  0.00016,  0.00919,  0.00923
Fe,  1.03420,  1.03180,  1.03223,  1.03390,  1.04503,  1.08670,  1.04203,  0.01732,  0.01662,  0.01675
Zn,  0.00003,  0.00000,  0.00001,  0.00003,  0.00024,  0.00108,  0.00019,  0.00034,  1.75852, 10.64015
Br,  0.00008,  0.00008,  0.00008,  0.00008,  0.00008,  0.00009,  0.00008,  0.00000,  0.06166,  0.06346
Pb,  0.00121,  0.00120,  0.00120,  0.00120,  0.00124,  0.00140,  0.00123,  0.00006,  0.05119,  0.05244

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 10.95000, 10.01800, 10.76700, 10.95250, 10.97300, 10.99600, 10.80995,  0.30174,  0.02791,  0.02756
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Al,  0.66405,  0.60752,  0.65293,  0.66422,  0.66546,  0.66680,  0.65554,  0.01830,  0.02792,  0.02756
Si,  1.52030,  1.39090,  1.49493,  1.52065,  1.52365,  1.52670,  1.50091,  0.04193,  0.02794,  0.02758
P,  0.01474,  0.01348,  0.01449,  0.01473,  0.01476,  0.01479,  0.01454,  0.00040,  0.02776,  0.02740
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
