**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 21.05800, 20.80200, 21.05875, 21.07000, 21.08275, 21.10400, 21.05915,  0.06263,  0.00297,  0.00297
Na,  0.02390,  0.02386,  0.02388,  0.02389,  0.02391,  0.02665,  0.02403,  0.00062,  0.02561,  0.02576
Mg,  0.03981,  0.03869,  0.03984,  0.03989,  0.03992,  0.04003,  0.03983,  0.00027,  0.00688,  0.00688
Al,  0.53023,  0.49271,  0.53042,  0.53093,  0.53120,  0.53211,  0.52900,  0.00856,  0.01618,  0.01614
Si,  1.10200,  1.02620,  1.10243,  1.10355,  1.10410,  1.10600,  1.09960,  0.01732,  0.01575,  0.01571
P,  0.01160,  0.01159,  0.01160,  0.01161,  0.01161,  0.01458,  0.01175,  0.00066,  0.05657,  0.05734
S,  0.28401,  0.28389,  0.28402,  0.28420,  0.28431,  0.39458,  0.28970,  0.02469,  0.08521,  0.08692
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.52996,  0.52967,  0.53000,  0.53032,  0.53057,  0.57394,  0.53248,  0.00977,  0.01834,  0.01843
Ca,  0.24710,  0.23179,  0.24715,  0.24735,  0.24749,  0.24783,  0.24658,  0.00349,  0.01415,  0.01412
Ti,  0.03646,  0.03355,  0.03647,  0.03650,  0.03652,  0.03658,  0.03635,  0.00066,  0.01822,  0.01817
V,  0.00113,  0.00110,  0.00113,  0.00113,  0.00113,  0.00113,  0.00113,  0.00001,  0.00679,  0.00678
Mn,  0.00733,  0.00682,  0.00733,  0.00733,  0.00734,  0.00735,  0.00731,  0.00011,  0.01560,  0.01556
Fe,  0.36877,  0.33802,  0.36884,  0.36917,  0.36937,  0.36990,  0.36761,  0.00697,  0.01897,  0.01891
Zn,  0.01680,  0.01649,  0.01679,  0.01680,  0.01681,  0.01683,  0.01679,  0.00007,  0.00430,  0.00430
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
