**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 6

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.63480,  4.62030,  4.62933,  4.63435,  4.64043,  5.70520,  4.79296,  0.39126,  0.08163,  0.08442
Na,  0.18948,  0.18170,  0.18928,  0.18943,  0.18948,  0.18957,  0.18828,  0.00280,  0.01488,  0.01479
Mg,  0.01665,  0.01360,  0.01660,  0.01664,  0.01666,  0.01669,  0.01619,  0.00111,  0.06868,  0.06676
Al,  0.00453,  0.00382,  0.00452,  0.00452,  0.00452,  0.00453,  0.00442,  0.00025,  0.05768,  0.05630
Si,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
P,  0.00060,  0.00057,  0.00059,  0.00060,  0.00062,  0.00107,  0.00067,  0.00017,  0.25937,  0.28827
S,  0.13986,  0.12424,  0.13878,  0.13963,  0.13988,  0.14075,  0.13739,  0.00565,  0.04115,  0.04042
Cl,  0.34487,  0.33226,  0.34465,  0.34473,  0.34487,  0.34506,  0.34294,  0.00454,  0.01324,  0.01317
K,  0.13728,  0.13644,  0.13701,  0.13725,  0.13772,  0.17156,  0.14230,  0.01254,  0.08814,  0.09137
Ca,  0.03514,  0.03508,  0.03511,  0.03513,  0.03515,  0.03994,  0.03584,  0.00176,  0.04907,  0.05006
Ti,  0.00104,  0.00103,  0.00104,  0.00104,  0.00104,  0.00127,  0.00107,  0.00009,  0.08063,  0.08337
V,  0.00028,  0.00028,  0.00028,  0.00028,  0.00028,  0.00034,  0.00029,  0.00002,  0.06968,  0.07169
Mn,  0.00064,  0.00063,  0.00063,  0.00064,  0.00064,  0.00079,  0.00066,  0.00006,  0.08543,  0.08852
Fe,  0.01222,  0.01219,  0.01221,  0.01222,  0.01224,  0.01841,  0.01315,  0.00226,  0.17218,  0.18526
Zn,  0.00598,  0.00597,  0.00598,  0.00598,  0.00599,  0.00725,  0.00617,  0.00046,  0.07519,  0.07755
Br,  0.00635,  0.00457,  0.00632,  0.00635,  0.00636,  0.00638,  0.00608,  0.00065,  0.10697,  0.10243
Pb,  0.00386,  0.00385,  0.00385,  0.00386,  0.00386,  0.00447,  0.00395,  0.00023,  0.05701,  0.05836
BC,  0.63412,  0.63368,  0.63379,  0.63411,  0.63451,  0.82413,  0.66249,  0.06939,  0.10474,  0.10942

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.91540,  1.18950,  4.90290,  4.91105,  4.91525,  4.92140,  4.35333,  1.36279,  0.31305,  0.27725
Na,  0.06238,  0.02065,  0.06235,  0.06241,  0.06246,  0.06257,  0.05617,  0.01530,  0.27242,  0.24529
Mg,  0.02318,  0.00915,  0.02310,  0.02315,  0.02318,  0.02322,  0.02105,  0.00513,  0.24366,  0.22124
Al,  0.04803,  0.01887,  0.04746,  0.04774,  0.04793,  0.04810,  0.04342,  0.01058,  0.24368,  0.22028
Si,  0.10872,  0.02142,  0.10747,  0.10808,  0.10852,  0.10890,  0.09510,  0.03176,  0.33395,  0.29212
P,  0.01057,  0.00059,  0.01056,  0.01057,  0.01057,  0.01058,  0.00907,  0.00365,  0.40279,  0.34575
S,  0.39585,  0.05130,  0.39551,  0.39585,  0.39599,  0.39630,  0.34418,  0.12621,  0.36669,  0.31883
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  0.27426,  0.05744,  0.27385,  0.27418,  0.27429,  0.27459,  0.24169,  0.07938,  0.32843,  0.28943
Ca,  0.02816,  0.00171,  0.02796,  0.02806,  0.02813,  0.02820,  0.02411,  0.00966,  0.40043,  0.34285
Ti,  0.00230,  0.00045,  0.00226,  0.00228,  0.00229,  0.00230,  0.00201,  0.00067,  0.33416,  0.29161
V,  0.00024,  0.00005,  0.00024,  0.00024,  0.00024,  0.00024,  0.00021,  0.00007,  0.32596,  0.28719
Mn,  0.00040,  0.00016,  0.00040,  0.00040,  0.00040,  0.00040,  0.00036,  0.00009,  0.24609,  0.22210
Fe,  0.01793,  0.00000,  0.01762,  0.01775,  0.01787,  0.01796,  0.01510,  0.00651,  0.43110,  0.36307
Zn,  0.00263,  0.00228,  0.00263,  0.00263,  0.00263,  0.00264,  0.00258,  0.00013,  0.04941,  0.04840
Br,  0.01113,  0.01111,  0.01112,  0.01113,  0.01114,  0.01930,  0.01235,  0.00299,  0.24196,  0.26864
Pb,  0.00053,  0.00053,  0.00053,  0.00053,  0.00053,  0.00160,  0.00069,  0.00039,  0.56567,  0.73504
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.10851,  0.01624,  0.03967,  2.44232,  0.00000

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 32.18500, 32.18100, 32.18525, 32.20200, 32.22425, 34.62300, 32.56155,  0.88431,  0.02716,  0.02748
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  0.33379,  0.33375,  0.33378,  0.33396,  0.33420,  0.34543,  0.33565,  0.00418,  0.01244,  0.01251
Al,  2.37260,  2.37230,  2.37260,  2.37380,  2.37548,  2.48440,  2.39015,  0.04034,  0.01688,  0.01700
Si,  5.35310,  5.35260,  5.35303,  5.35585,  5.35965,  5.49690,  5.37649,  0.05130,  0.00954,  0.00958
P,  0.00703,  0.00703,  0.00703,  0.00703,  0.00704,  0.00715,  0.00705,  0.00004,  0.00581,  0.00583
