**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 17

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.00156,  0.00058,  0.00085,  0.00155,  0.00157,  0.00159,  0.00132,  0.00042,  0.31960,  0.27052
Fe,  0.10568,  0.06645,  0.07722,  0.10539,  0.10634,  0.10723,  0.09619,  0.01689,  0.17561,  0.15983
Zn,  0.00358,  0.00356,  0.00360,  0.00365,  0.00592,  0.00671,  0.00439,  0.00136,  0.30856,  0.37865
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00040,  0.00040,  0.00041,  0.00041,  0.00047,  0.00049,  0.00043,  0.00004,  0.08472,  0.08966

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.23380,  4.17730,  4.20855,  4.23490,  4.26250,  4.47570,  4.25230,  0.07410,  0.01743,  0.01750
Na,  0.09113,  0.01171,  0.07122,  0.09092,  0.09108,  0.09113,  0.07961,  0.02351,  0.29533,  0.25801
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00038,  0.00168,  0.00031,  0.00061,  1.98976,  0.00000
Al,  0.14907,  0.14549,  0.14757,  0.14993,  0.17064,  0.21438,  0.15935,  0.02041,  0.12808,  0.13691
Si,  0.35313,  0.34529,  0.34982,  0.35499,  0.39424,  0.48523,  0.37334,  0.04078,  0.10922,  0.11547
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Cl,  0.31365,  0.19702,  0.28807,  0.31294,  0.31322,  0.31395,  0.29729,  0.03380,  0.11368,  0.10775
K,  0.00470,  0.00000,  0.00454,  0.00464,  0.00494,  0.00763,  0.00422,  0.00195,  0.46279,  0.41536
Ca,  0.21390,  0.21125,  0.21274,  0.21427,  0.22546,  0.23925,  0.21832,  0.00900,  0.04122,  0.04207
Ti,  0.01551,  0.01522,  0.01538,  0.01557,  0.01717,  0.02025,  0.01627,  0.00151,  0.09286,  0.09740
V,  0.00017,  0.00016,  0.00017,  0.00017,  0.00025,  0.00031,  0.00020,  0.00005,  0.27044,  0.31810
Mn,  0.00135,  0.00132,  0.00134,  0.00136,  0.00165,  0.00208,  0.00148,  0.00024,  0.16341,  0.17881
Fe,  0.14441,  0.14190,  0.14330,  0.14494,  0.14978,  0.17233,  0.14786,  0.00815,  0.05514,  0.05646
Zn,  0.01016,  0.00711,  0.00794,  0.01012,  0.01016,  0.01018,  0.00939,  0.00132,  0.14059,  0.12991
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00073,  0.00100,  0.00025,  0.00044,  1.77717,  0.00000
Pb,  0.00080,  0.00080,  0.00080,  0.00080,  0.00097,  0.00110,  0.00086,  0.00011,  0.13069,  0.14056

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  2.09940,  1.75280,  1.85775,  2.09280,  2.09578,  2.12240,  2.01342,  0.14688,  0.07295,  0.06996
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00032,  0.00090,  0.00016,  0.00031,  1.85593,  0.00000
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00268,  0.00378,  0.00092,  0.00163,  1.77759,  0.00000
Al,  0.03977,  0.00000,  0.00978,  0.03975,  0.03994,  0.04073,  0.02988,  0.01770,  0.59244,  0.44511
Si,  0.08359,  0.01050,  0.02915,  0.08346,  0.08374,  0.08604,  0.06542,  0.03227,  0.49318,  0.38601
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.06545,  0.06439,  0.06463,  0.06506,  0.08597,  0.09500,  0.07215,  0.01274,  0.17650,  0.19458
Cl,  0.10725,  0.04343,  0.06109,  0.10770,  0.10852,  0.10959,  0.09230,  0.02810,  0.30449,  0.26205
K,  0.06453,  0.06276,  0.06332,  0.06393,  0.09731,  0.11157,  0.07524,  0.02030,  0.26973,  0.31451
