**** Analysis Summary ****

Time of run: ,04/10/16 01:52
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
8                    2,0.00001,0.00004,0.00014,0.00009,0.00005,0.00009,0.00006,0.00002,0.00009,0.00006,0.00004,0.00002,0.00005,0.00003,0.00025,0.00011,0.00002,
8                    3,0.00001,0.00016,0.00151,0.00009,0.00007,0.00033,0.00020,0.00011,0.00021,0.00031,0.00013,0.00002,0.00005,0.00012,0.00105,0.00027,0.00038,
8                    4,0.00001,0.00002,0.00003,0.00004,0.00001,0.00005,0.00002,0.00002,0.00003,0.00005,0.00002,0.00002,0.00001,0.00002,0.00014,0.00005,0.00002,
8                    5,0.00002,0.00015,0.00085,0.00008,0.00006,0.00034,0.00015,0.00013,0.00021,0.00040,0.00008,0.00003,0.00004,0.00007,0.00133,0.00027,0.00034,
8                    6,0.00441,0.06530,0.46834,0.06963,0.02562,0.62422,0.39886,0.03159,0.32287,0.54129,0.06992,0.11731,0.03467,0.16667,0.61213,1.85296,0.09700,
8                    7,0.00001,0.00021,0.00200,0.00013,0.00009,0.00039,0.00028,0.00012,0.00032,0.00044,0.00014,0.00003,0.00009,0.00013,0.00146,0.00041,0.00052,
9                    1,0.00442,0.05741,0.32215,0.05308,0.02216,0.48305,0.30649,0.02634,0.27151,0.43140,0.04941,0.10768,0.03071,0.11890,0.59847,1.42468,0.10642,
9                    2,0.00001,0.00002,0.00003,0.00008,0.00005,0.00013,0.00006,0.00002,0.00008,0.00012,0.00004,0.00000,0.00003,0.00006,0.00029,0.00009,0.00003,
9                    3,0.00001,0.00010,0.00092,0.00007,0.00005,0.00013,0.00008,0.00005,0.00009,0.00009,0.00003,0.00001,0.00003,0.00004,0.00046,0.00006,0.00022,
9                    4,0.00000,0.00003,0.00007,0.00002,0.00002,0.00011,0.00006,0.00002,0.00005,0.00008,0.00005,0.00001,0.00002,0.00005,0.00018,0.00009,0.00002,
