**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.00855,  0.00000,  0.00000,  0.00986,  0.01515,  0.03604,  0.01010,  0.00965,  0.95615,  1.12861
Fe,  0.56545,  0.17039,  0.21345,  0.61065,  0.87005,  2.03970,  0.65246,  0.46656,  0.71508,  0.82511
Zn,  0.00993,  0.00576,  0.00873,  0.01062,  0.01259,  0.01959,  0.01095,  0.00324,  0.29634,  0.32660
Br,  0.00000,  0.00000,  0.00000,  0.00189,  0.00461,  0.00824,  0.00251,  0.00271,  1.07810,294624562.26076
Pb,  0.00430,  0.00267,  0.00381,  0.00472,  0.00555,  0.00807,  0.00491,  0.00131,  0.26736,  0.30557

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,165.43000,136.25000,145.60750,149.78500,155.95000,166.12000,150.69600,  8.40816,  0.05580,  0.05083
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg,  1.12230,  0.99381,  1.06560,  1.12405,  1.17098,  1.24580,  1.12141,  0.07228,  0.06445,  0.06440
Al,  7.41380,  6.21530,  6.70683,  6.89080,  7.21138,  7.44320,  6.88660,  0.34983,  0.05080,  0.04719
Si, 19.77400, 16.89500, 18.22250, 18.64300, 19.51500, 19.91200, 18.66025,  0.90441,  0.04847,  0.04574
P,  0.02168,  0.00000,  0.00003,  0.00313,  0.01923,  0.02192,  0.00810,  0.00926,  1.14356,  0.42717
S,  0.18389,  0.00000,  0.00140,  0.02322,  0.16117,  0.18637,  0.06700,  0.07795,  1.16343,  0.42390
Cl,  0.65222,  0.56800,  0.60939,  0.64996,  0.66966,  0.71958,  0.64308,  0.04384,  0.06817,  0.06722
K,  2.09810,  1.59000,  1.69423,  1.78250,  1.94245,  2.10850,  1.81149,  0.16054,  0.08862,  0.07652
Ca,  4.01800,  3.41760,  3.67720,  3.75960,  3.92223,  4.03330,  3.76227,  0.17953,  0.04772,  0.04468
Ti,  0.62962,  0.52571,  0.55969,  0.57789,  0.59795,  0.63214,  0.57839,  0.02984,  0.05159,  0.04739
V,  0.01017,  0.00833,  0.00893,  0.00917,  0.00958,  0.01021,  0.00924,  0.00053,  0.05745,  0.05219
Mn,  0.10792,  0.09147,  0.09788,  0.10036,  0.10450,  0.10833,  0.10036,  0.00479,  0.04771,  0.04437
Fe,  5.78810,  4.77860,  5.08903,  5.23450,  5.45323,  5.81200,  5.27022,  0.29163,  0.05534,  0.05038
Zn,  0.03716,  0.02349,  0.02491,  0.02655,  0.03407,  0.03738,  0.02885,  0.00492,  0.17061,  0.13249
Br,  0.00000,  0.00000,  0.00000,  0.00319,  0.00764,  0.01043,  0.00408,  0.00417,  1.02239,440296.07235
Pb,  0.01430,  0.00925,  0.00988,  0.01080,  0.01312,  0.01439,  0.01130,  0.00178,  0.15720,  0.12424

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 16.68038,  2.15547,  4.36067,  9.32352, 13.60213, 17.46125,  9.41292,  5.04056,  0.53549,  0.30218
Na,  0.00000,  0.00000,  0.00000,  0.00000,  5.82788, 11.17803,  2.45568,  4.40980,  1.79576,  0.00000
Mg, 21.97271,  6.15304, 10.40567, 14.15751, 17.57358, 23.51455, 14.18299,  5.30375,  0.37395,  0.24138
Al, 17.41124,  3.55276,  6.57710, 10.37613, 14.24922, 18.70530, 10.67665,  4.66498,  0.43693,  0.26793
Si, 18.38075,  3.54124,  6.59752, 10.86117, 14.83197, 19.37812, 11.02943,  5.03482,  0.45649,  0.27392
P,  0.61593,  0.00000,  0.00532,  0.36191,  4.66389,  6.65907,  1.88321,  2.54931,  1.35370,  4.13894
