"Sample    : Cr_34673_8p",
"Operator  : américo",
"Comment  : micromatter ug/cm2",
"Group     : kerr2007ag180cal_lt",
"Date       : 2014-03-18 10:51:17",
"",
"Mesurement Condition",
"------------------------------------------------------------------------------------",
"Instrument : 700HS2   Atmosphere : Vac.   Collimator : 10(mm)   Spin : No",
"------------------------------------------------------------------------------------",
"Analyte               TG kV   uA      FI Acq.(keV)  Anal.(keV)  Time(sec)     DT(%)",
"------------------------------------------------------------------------------------",
"Na                    Rh 50  312-Auto Al  0 - 20    0.8 - 1.2   Live -  179   15",
"",
"<Profile>",
"Channel_info_start",
"Channel : Na",
"Points : 2048",
"Range : 0.000000 - 20.480000",
"Step : 0.010000",
"Channel_info_end",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"1",
"0",
"0",
"10",
"10",
"16",
"17",
"6",
"7",
"14",
"12",
"16",
"11",
"12",
"12",
"13",
"15",
"17",
"16",
"15",
"15",
"12",
"16",
"14",
"14",
"15",
"14",
"11",
"13",
"11",
"14",
"12",
"9",
"12",
"14",
"10",
"12",
"11",
"19",
"15",
"11",
"11",
"14",
"9",
"9",
"9",
"15",
"11",
"10",
"7",
"9",
"12",
"9",
"11",
"12",
"8",
"8",
"15",
"7",
"8",
"10",
"6",
"12",
"7",
"6",
"12",
"8",
"9",
"12",
"17",
"14",
"9",
"10",
"8",
"9",
"10",
"8",
"12",
"6",
"13",
"12",
"12",
"10",
"7",
"15",
"17",
"10",
"11",
"8",
"15",
"8",
"11",
"13",
"23",
"14",
"12",
"13",
"10",
"13",
"16",
"20",
"14",
"15",
"14",
"19",
"10",
"12",
"8",
"14",
"20",
"19",
"7",
"15",
"15",
"16",
"23",
"6",
"16",
"15",
"19",
"22",
"14",
"23",
"18",
"23",
"21",
"18",
"12",
"15",
"16",
"12",
"14",
"17",
"14",
"18",
"9",
"16",
"13",
"19",
"19",
"22",
"14",
"17",
"14",
"26",
"17",
"16",
"19",
"23",
"17",
"18",
"22",
"17",
"10",
"10",
"25",
"17",
"16",
"19",
"25",
"24",
"16",
"30",
"34",
"33",
"34",
"42",
"38",
"65",
"56",
"82",
"81",
"90",
"64",
"76",
"73",
"59",
"58",
"55",
"35",
"35",
"27",
"33",
"24",
"14",
"22",
"13",
"19",
"19",
"18",
"14",
"12",
"23",
"15",
"18",
"12",
"14",
"19",
"14",
"15",
"14",
"13",
"17",
"14",
"18",
"21",
"20",
"11",
"21",
"15",
"15",
"11",
"19",
"15",
"14",
"15",
"16",
"22",
"20",
"13",
"15",
"15",
"17",
"11",
"16",
"16",
"17",
"13",
"26",
"14",
"24",
"24",
"12",
"21",
"27",
"11",
"25",
"12",
"19",
"18",
"14",
"18",
"17",
"27",
"23",
"11",
"20",
"20",
"13",
"12",
"21",
"14",
"9",
"14",
"11",
"19",
"19",
"18",
"20",
"19",
"16",
"15",
"25",
"16",
"22",
"19",
"22",
"17",
"15",
"14",
"19",
"18",
"18",
"14",
"15",
"13",
"22",
"12",
"25",
"18",
"18",
"15",
"17",
"23",
"20",
"12",
"16",
"12",
"28",
"22",
"19",
"13",
"19",
"25",
"26",
"24",
"29",
"24",
"24",
"16",
"23",
"23",
"24",
"25",
"33",
"22",
"27",
"38",
"23",
"24",
"36",
"21",
"25",
"19",
"31",
"26",
"25",
"19",
"34",
"28",
"38",
"42",
"34",
"30",
"44",
"65",
"73",
"67",
"93",
"127",
"166",
"218",
"263",
"319",
"467",
"513",
"674",
"786",
"869",
"888",
"1003",
"968",
"1044",
"947",
"826",
"787",
"683",
"605",
"468",
"378",
"343",
"226",
"187",
"145",
"117",
"78",
"71",
"62",
"66",
"52",
"56",
"55",
"59",
"57",
"79",
"66",
"90",
"78",
"90",
"105",
"101",
"115",
"143",
"118",
"141",
"135",
"138",
"117",
"119",
"99",
"96",
"91",
"79",
"73",
"72",
"59",
"60",
"55",
"79",
"63",
"53",
"60",
"56",
"61",
"77",
"61",
"75",
"59",
"70",
"47",
"67",
"60",
"53",
"66",
"66",
"54",
"65",
"67",
"64",
"64",
"70",
"64",
"57",
"58",
"68",
"58",
"74",
"62",
"68",
"83",
"87",
"80",
"83",
"71",
"87",
"84",
"78",
"75",
"82",
"84",
"78",
"72",
"78",
"72",
"89",
"79",
"86",
"86",
"99",
"87",
"99",
"81",
"95",
"88",
"92",
"95",
"92",
"89",
"78",
"78",
"92",
"80",
"78",
"84",
"91",
"75",
"71",
"59",
"83",
"81",
"85",
"87",
"99",
"69",
"95",
"77",
"84",
"92",
"92",
"84",
"99",
"104",
"99",
"122",
"107",
"95",
"111",
"110",
"128",
"117",
"133",
"129",
"168",
"119",
"168",
"159",
"141",
"158",
"195",
"198",
"194",
"247",
"273",
"317",
"451",
"498",
"740",
"993",
"1478",
"1936",
"3029",
"3945",
"5482",
"7429",
"9779",
"12377",
"16225",
"18707",
"23145",
"25931",
"29901",
"31243",
"34338",
"35350",
"36708",
"34506",
"34709",
"30926",
"29227",
"24580",
"21784",
"17964",
"15022",
"11330",
"9381",
"6953",
"5204",
"3681",
"2607",
"1809",
"1252",
"794",
"546",
"418",
"271",
"212",
"194",
"155",
"153",
"129",
"138",
"139",
"136",
"137",
"160",
"167",
"173",
"192",
"225",
"238",
"301",
"353",
"458",
"572",
"721",
"902",
"1254",
"1398",
"1916",
"2103",
"2642",
"2802",
"3424",
"3469",
"4212",
"4219",
"4559",
"4406",
"4538",
"4318",
"4155",
"3598",
"3465",
"2991",
"2643",
"2171",
"1852",
"1437",
"1204",
"839",
"695",
"543",
"426",
"263",
"217",
"152",
"109",
"117",
"97",
"84",
"79",
"56",
"68",
"52",
"67",
"68",
"62",
"71",
"68",
"62",
"63",
"82",
"72",
"36",
"81",
"61",
"62",
"61",
"74",
"75",
"78",
"77",
"85",
"75",
"87",
"86",
"86",
"73",
"95",
"61",
"77",
"79",
"76",
"68",
"91",
"62",
"72",
"64",
"86",
"75",
"104",
"69",
"85",
"64",
"54",
"73",
"91",
"87",
"83",
"64",
"81",
"75",
"84",
"81",
"64",
"73",
"78",
"85",
"76",
"72",
"77",
"69",
"70",
"70",
"80",
"70",
"58",
"72",
"74",
"65",
"66",
"67",
"66",
"72",
"50",
"47",
"61",
"68",
"85",
"57",
"58",
"66",
"81",
"61",
"58",
"63",
"72",
"76",
"42",
"51",
"70",
"62",
"58",
"51",
"62",
"64",
"69",
"71",
"65",
"52",
"71",
"51",
"69",
"62",
"63",
"71",
"46",
"71",
"63",
"60",
"67",
"66",
"76",
"63",
"67",
"63",
"66",
"69",
"71",
"73",
"76",
"40",
"73",
"81",
"81",
"76",
"71",
"71",
"76",
"78",
"73",
"80",
"72",
"68",
"73",
"78",
"87",
"77",
"77",
"80",
"83",
"52",
"55",
"77",
"70",
"84",
"77",
"69",
"74",
"68",
"56",
"90",
"70",
"55",
"59",
"75",
"73",
"71",
"81",
"85",
"88",
"72",
"78",
"88",
"74",
"81",
"68",
"101",
"94",
"94",
"102",
"86",
"84",
"86",
"81",
"94",
"91",
"90",
"99",
"90",
"107",
"90",
"85",
"129",
"99",
"115",
"109",
"96",
"106",
"102",
"106",
"78",
"91",
"89",
"95",
"80",
"90",
"76",
"73",
"73",
"74",
"75",
"73",
"63",
"75",
"75",
"80",
"64",
"73",
"59",
"61",
"73",
"64",
"70",
"72",
"54",
"83",
"62",
"77",
"72",
"74",
"61",
"76",
"72",
"69",
"65",
"64",
"77",
"73",
"88",
"88",
"76",
"75",
"58",
"81",
"91",
"84",
"107",
"96",
"106",
"95",
"85",
"108",
"96",
"113",
"101",
"93",
"102",
"111",
"91",
"98",
"101",
"85",
"92",
"99",
"85",
"74",
"75",
"66",
"93",
"103",
"84",
"75",
"75",
"78",
"63",
"75",
"64",
"64",
"76",
"76",
"59",
"70",
"47",
"69",
"60",
"66",
"64",
"84",
"66",
"68",
"80",
"80",
"76",
"80",
"74",
"69",
"68",
"65",
"81",
"63",
"67",
"68",
"83",
"67",
"72",
"70",
"76",
"72",
"68",
"67",
"57",
"65",
"73",
"62",
"66",
"61",
"68",
"81",
"74",
"76",
"65",
"80",
"83",
"56",
"61",
"73",
"70",
"65",
"64",
"46",
"66",
"71",
"55",
"52",
"72",
"74",
"66",
"67",
"73",
"70",
"75",
"80",
"70",
"82",
"70",
"67",
"63",
"80",
"63",
"78",
"70",
"80",
"66",
"67",
"62",
"68",
"63",
"70",
"79",
"81",
"77",
"76",
"65",
"52",
"83",
"56",
"64",
"65",
"84",
"76",
"64",
"63",
"61",
"78",
"74",
"80",
"67",
"64",
"76",
"65",
"78",
"56",
"66",
"72",
"72",
"67",
"78",
"73",
"77",
"76",
"63",
"68",
"74",
"64",
"68",
"71",
"59",
"68",
"76",
"72",
"75",
"75",
"61",
"50",
"65",
"67",
"63",
"70",
"63",
"74",
"60",
"67",
"79",
"83",
"64",
"74",
"81",
"64",
"66",
"61",
"67",
"56",
"62",
"63",
