**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 9

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.00267,  0.00214,  0.00298,  0.00361,  0.00411,  0.00480,  0.00357,  0.00073,  0.20558,  0.27486
Fe,  0.31865,  0.26433,  0.32364,  0.44819,  0.54704,  0.58177,  0.43743,  0.10894,  0.24905,  0.34189
Zn,  0.01108,  0.00514,  0.00701,  0.00979,  0.01180,  0.01372,  0.00955,  0.00276,  0.28952,  0.24956
Br,  0.00016,  0.00000,  0.00000,  0.00000,  0.00012,  0.00152,  0.00015,  0.00038,  2.48303,  2.35329
Pb,  0.00169,  0.00031,  0.00072,  0.00123,  0.00205,  0.00257,  0.00138,  0.00070,  0.50906,  0.41488

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.12590,  1.12590,  1.35873,  2.27325,  2.88548,  4.19940,  2.26875,  0.85092,  0.37506,  0.75577
Na,  0.06629,  0.00000,  0.01000,  0.06802,  0.09254,  0.15160,  0.06062,  0.04867,  0.80290,  0.73417
Mg,  0.02927,  0.01830,  0.02181,  0.02902,  0.03432,  0.04209,  0.02844,  0.00709,  0.24938,  0.24230
Al,  0.09135,  0.01879,  0.10325,  0.14019,  0.19273,  0.20652,  0.14314,  0.05074,  0.35450,  0.55550
Si,  0.16211,  0.07063,  0.21178,  0.26279,  0.34166,  0.40624,  0.26703,  0.08734,  0.32710,  0.53879
P,  0.00173,  0.00000,  0.00193,  0.00388,  0.00496,  0.00627,  0.00347,  0.00176,  0.50683,  1.01648
S,  0.09936,  0.09805,  0.10606,  0.11028,  0.11155,  0.12748,  0.10923,  0.00636,  0.05821,  0.06399
Cl,  0.07407,  0.00000,  0.04843,  0.08392,  0.19751,  0.35284,  0.11580,  0.10382,  0.89657,  1.40170
K,  0.12356,  0.11538,  0.12897,  0.13788,  0.14866,  0.15406,  0.13763,  0.01166,  0.08473,  0.09437
Ca,  0.00000,  0.00000,  0.00209,  0.10735,  0.17228,  0.22903,  0.09913,  0.08326,  0.83996,158490.29808
Ti,  0.00467,  0.00000,  0.00569,  0.01185,  0.01533,  0.01921,  0.01090,  0.00535,  0.49020,  1.14370
V,  0.00012,  0.00000,  0.00004,  0.00010,  0.00016,  0.00019,  0.00009,  0.00007,  0.70968,  0.56906
Mn,  0.00097,  0.00050,  0.00116,  0.00158,  0.00196,  0.00226,  0.00154,  0.00046,  0.30155,  0.47822
Fe,  0.00000,  0.00000,  0.00002,  0.00966,  0.04672,  0.09322,  0.02250,  0.02832,  1.25859,  0.00000
Zn,  0.00104,  0.00044,  0.00107,  0.00316,  0.00509,  0.00552,  0.00320,  0.00191,  0.59623,  1.83991
Br,  0.00317,  0.00317,  0.00337,  0.00346,  0.00357,  0.00403,  0.00347,  0.00020,  0.05666,  0.06213
Pb,  0.00149,  0.00149,  0.00166,  0.00197,  0.00240,  0.00262,  0.00204,  0.00040,  0.19724,  0.27104

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 10.06900,  6.70930,  7.51885,  8.46115,  9.59120, 11.81800,  8.65010,  1.34439,  0.15542,  0.13352
Na,  0.00000,  0.00000,  0.00000,  0.00005,  0.01165,  0.04016,  0.00795,  0.01373,  1.72729,81138120.18486
Mg,  0.07009,  0.06068,  0.06841,  0.07369,  0.07876,  0.09526,  0.07435,  0.00894,  0.12026,  0.12755
Al,  0.71969,  0.51116,  0.55596,  0.61746,  0.70667,  0.81297,  0.63566,  0.08868,  0.13950,  0.12321
Si,  1.32880,  0.99913,  1.06355,  1.20140,  1.32735,  1.57720,  1.22046,  0.17354,  0.14219,  0.13060
P,  0.00418,  0.00000,  0.00288,  0.00356,  0.00423,  0.00613,  0.00354,  0.00131,  0.37022,  0.31409
S,  0.04445,  0.00633,  0.01658,  0.02246,  0.03389,  0.04445,  0.02509,  0.01039,  0.41405,  0.23375
Cl,  0.32635,  0.06982,  0.11021,  0.18492,  0.21250,  0.37742,  0.18093,  0.08180,  0.45211,  0.25065
K,  0.10776,  0.04528,  0.07840,  0.09256,  0.09918,  0.11296,  0.08937,  0.01665,  0.18626,  0.15446
Ca,  0.54001,  0.13681,  0.20931,  0.27869,  0.35554,  0.54001,  0.29387,  0.11064,  0.37650,  0.20489
Ti,  0.06143,  0.03464,  0.04148,  0.04708,  0.05376,  0.06473,  0.04786,  0.00823,  0.17202,  0.13401
V,  0.00060,  0.00049,  0.00069,  0.00080,  0.00092,  0.00113,  0.00081,  0.00016,  0.19253,  0.25896
Mn,  0.00636,  0.00431,  0.00471,  0.00520,  0.00606,  0.00705,  0.00541,  0.00079,  0.14541,  0.12359
Fe,  0.30836,  0.22081,  0.31227,  0.37884,  0.42889,  0.53423,  0.37936,  0.07903,  0.20832,  0.25628
Zn,  0.00360,  0.00000,  0.00000,  0.00000,  0.00099,  0.00360,  0.00061,  0.00110,  1.82018,  0.30666
Br,  0.00110,  0.00000,  0.00000,  0.00000,  0.00061,  0.00110,  0.00027,  0.00037,  1.36265,  0.33705
Pb,  0.00200,  0.00027,  0.00040,  0.00062,  0.00100,  0.00200,  0.00075,  0.00042,  0.56492,  0.21270

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 21.44693, 17.48785, 19.88341, 21.97285, 23.46433, 25.50332, 21.66251,  2.39089,  0.11037,  0.11148
Na, 70.51869, 68.28391, 69.29746, 72.81057, 76.46521, 79.64111, 72.97334,  3.82024,  0.05235,  0.05417
Mg, 18.47443, 16.30096, 21.21199, 23.00052, 26.15722, 30.79557, 23.56165,  3.61698,  0.15351,  0.19578
Al,  5.12970,  0.52811,  3.09510,  6.19978,  8.25392, 10.38200,  5.92988,  3.04154,  0.51292,  0.59293
Si,  9.53308,  6.35744,  8.25715, 11.10876, 12.87033, 14.38457, 10.75847,  2.47845,  0.23037,  0.25998
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00263, 10.65652,  1.06360,  3.23976,  3.04604,  0.00000
S, 17.01995, 15.71864, 17.55864, 21.33882, 27.64368, 32.11281, 22.59108,  5.52963,  0.24477,  0.32489
Cl, 56.59348, 46.06152, 52.52064, 55.96360, 57.78987, 61.96178, 55.08653,  3.86207,  0.07011,  0.06824
K,  0.00000,  0.00000,  1.84832,  5.33687, 10.44747, 11.97544,  5.78920,  4.39642,  0.75942,  0.00000
Ca, 22.36380,  4.71058, 10.36507, 17.27637, 23.47499, 25.32621, 16.37829,  6.70719,  0.40952,  0.29991
Ti,  9.35342,  0.00000,  4.02196,  8.29973, 11.37141, 13.41428,  7.74312,  4.19377,  0.54161,  0.44837
V,  8.34740,  4.83066, 12.56993, 14.83541, 19.59011, 22.84635, 15.15632,  4.70975,  0.31074,  0.56422
Mn,  9.23878,  4.68574,  7.30143,  9.95203, 11.84504, 13.61090,  9.62336,  2.79875,  0.29083,  0.30293
Fe, 13.76154, 11.46090, 15.34215, 15.99406, 19.47154, 25.15313, 17.10412,  3.13438,  0.18325,  0.22776
Zn, 14.91716,  4.57036,  7.41413,  9.76773, 14.88369, 19.24442, 10.73475,  4.37384,  0.40745,  0.29321
Br, 16.97607, 12.12028, 16.71829, 21.29705, 28.94573, 35.59704, 22.67039,  7.22727,  0.31880,  0.42573
Pb,  6.32762,  0.00000,  0.22952,  2.65287,  7.17395, 12.77593,  3.72289,  3.88997,  1.04488,  0.61476

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 23.61395, 15.52453, 17.54288, 19.40679, 23.26147, 25.10127, 20.16736,  3.02078,  0.14979,  0.12792
Na, 17.30556,  0.00001,  6.66647, 13.77089, 19.62187, 29.08548, 12.94444,  8.24299,  0.63680,  0.47632
Mg, 31.70183,  0.11437,  5.40299,  9.07123, 21.18060, 33.38661, 13.17467, 10.15804,  0.77103,  0.32042
Al, 27.18606, 13.08022, 15.77731, 21.52961, 26.33052, 31.58258, 20.86899,  5.55958,  0.26640,  0.20450
Si, 28.14706, 13.21410, 16.04074, 18.83879, 22.82033, 28.30513, 19.76966,  4.55317,  0.23031,  0.16176
P, 25.11903,  0.00000, 11.99619, 17.66134, 22.22195, 52.06901, 17.56282, 10.78033,  0.61382,  0.42917
S, 10.96199,  0.00000,  0.68848,  4.17411, 11.95966, 22.39515,  6.72461,  6.59778,  0.98114,  0.60188
Cl, 11.96759,  7.58059, 12.96250, 18.52503, 27.22764, 34.06744, 20.39118,  8.05266,  0.39491,  0.67287
K, 20.69665,  0.00000,  1.76993,  5.83330, 16.69231, 24.92111,  9.02090,  8.32564,  0.92293,  0.40227
Ca,  7.22001,  2.35145,  5.48844, 35.31192, 43.64225, 49.66627, 29.21038, 17.77025,  0.60835,  2.46125
Ti, 20.69339,  9.29979, 17.98611, 23.56082, 31.23773, 39.54864, 24.13792,  8.50215,  0.35223,  0.41086
