**** Analysis Summary ****

Time of run: ,04/10/16 02:07
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\TGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      6.1, 14.50000, 26.49000, 32.08500, 37.79875, 70.70000, 100.00 %, 100.00 %
Na,Strong,      3.4,  0.04057,  0.41918,  0.60181,  0.90070,  2.18075, 100.00 %, 100.00 %
Mg,Strong,      2.0,  0.05743,  0.14820,  0.17713,  0.24230,  0.61463, 100.00 %, 100.00 %
Al,Strong,      9.8,  0.28771,  1.04255,  1.36843,  1.93418,  4.25301, 100.00 %, 100.00 %
Si,Strong,     10.0,  0.74909,  2.36221,  3.08746,  4.08080,  9.75735, 100.00 %, 100.00 %
P,Strong,      3.3,  0.00026,  0.01448,  0.02435,  0.03060,  0.05943, 100.00 %, 100.00 %
S,Strong,      6.7,  0.05471,  0.16991,  0.22326,  0.27385,  0.72962, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.85284,  1.35277,  1.75464,  2.23249,  4.19312, 100.00 %, 100.00 %
K,Strong,      8.1,  0.06489,  0.25567,  0.32577,  0.43147,  0.93165, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.37105,  0.93883,  1.23251,  1.50585,  2.81288, 100.00 %, 100.00 %
Ti,Strong,      9.9,  0.02810,  0.08739,  0.11839,  0.16507,  0.33576, 100.00 %, 100.00 %
V,Strong,      1.5,  0.00017,  0.00114,  0.00177,  0.00267,  0.00576, 100.00 %, 100.00 %
Mn,Strong,      8.3,  0.00377,  0.01026,  0.01404,  0.01830,  0.04548, 100.00 %, 100.00 %
Fe,Strong,      9.9,  0.28551,  0.89859,  1.18161,  1.57235,  2.88928, 100.00 %, 100.00 %
Zn,Strong,      5.0,  0.00014,  0.01497,  0.01983,  0.02560,  0.05550, 100.00 %, 100.00 %
Br,Strong,      2.4,  0.00049,  0.00282,  0.00493,  0.00708,  0.01792, 100.00 %, 100.00 %
Pb,Strong,      1.0,  0.00022,  0.00385,  0.00503,  0.00745,  0.01216, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,5
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,952.498     ,957.842     ,Yes      ,425,0.8042334
2,952.473     ,957.844     ,Yes      ,549,0.8042351
3,952.463     ,957.842     ,Yes      ,389,0.8042334
4,952.477     ,957.844     ,Yes      ,414,0.8042351
5,952.449     ,957.847     ,Yes      ,391,0.8042376
6,952.452     ,957.846     ,Yes      ,554,0.8042368
7,952.456     ,957.846     ,Yes      ,420,0.8042368
8,952.458     ,957.843     ,Yes      ,381,0.8042343
9,952.429     ,957.849     ,Yes      ,367,0.8042393
10,952.456     ,957.844     ,Yes      ,923,0.8042351
11,952.477     ,957.839     ,Yes      ,409,0.8042309
12,952.49      ,957.836     ,Yes      ,360,0.8042284
13,952.469     ,957.841     ,Yes      ,308,0.8042326
14,952.445     ,957.848     ,Yes      ,574,0.8042384
15,952.451     ,957.846     ,Yes      ,282,0.8042368
16,952.455     ,957.844     ,Yes      ,284,0.8042351
17,952.454     ,957.845     ,Yes      ,229,0.8042359
18,952.447     ,957.844     ,Yes      ,232,0.8042351
19,952.451     ,957.846     ,Yes      ,464,0.8042368
20,952.461     ,957.842     ,Yes      ,455,0.8042334

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00031,
3,0.00050,0.00048,
4,0.00022,0.00023,0.00052,
5,0.00096,0.00072,0.00058,0.00080,
6,0.00040,0.00038,0.00080,0.00035,0.00104,
7,0.00039,0.00043,0.00048,0.00030,0.00055,0.00051,
8,0.00050,0.00042,0.00029,0.00054,0.00062,0.00080,0.00056,
9,0.00046,0.00044,0.00074,0.00040,0.00083,0.00039,0.00035,0.00072,
10,0.00038,0.00043,0.00080,0.00037,0.00098,0.00027,0.00049,0.00082,0.00048,
11,0.00031,0.00043,0.00053,0.00040,0.00096,0.00051,0.00058,0.00056,0.00067,0.00046,
12,0.00078,0.00069,0.00077,0.00087,0.00120,0.00114,0.00122,0.00063,0.00124,0.00112,0.00062,
13,0.00082,0.00095,0.00064,0.00088,0.00092,0.00125,0.00078,0.00068,0.00106,0.00118,0.00080,0.00114,
14,0.00069,0.00071,0.00093,0.00059,0.00083,0.00049,0.00042,0.00100,0.00045,0.00050,0.00074,0.00164,0.00116,
15,0.00026,0.00024,0.00048,0.00020,0.00071,0.00031,0.00027,0.00054,0.00034,0.00033,0.00046,0.00096,0.00092,0.00052,
16,0.00035,0.00026,0.00032,0.00032,0.00050,0.00055,0.00037,0.00031,0.00045,0.00056,0.00045,0.00066,0.00074,0.00071,0.00030,
17,0.00025,0.00030,0.00044,0.00022,0.00065,0.00044,0.00022,0.00044,0.00035,0.00043,0.00039,0.00092,0.00071,0.00054,0.00021,0.00026,
18,0.00042,0.00047,0.00037,0.00048,0.00070,0.00066,0.00044,0.00029,0.00061,0.00064,0.00048,0.00085,0.00070,0.00079,0.00044,0.00038,0.00034,
19,0.00041,0.00043,0.00067,0.00034,0.00073,0.00036,0.00027,0.00070,0.00029,0.00036,0.00048,0.00122,0.00095,0.00024,0.00028,0.00045,0.00029,0.00053,
20,0.00021,0.00033,0.00038,0.00026,0.00075,0.00043,0.00030,0.00044,0.00047,0.00042,0.00026,0.00077,0.00070,0.00058,0.00028,0.00029,0.00020,0.00032,0.00034,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00000,0.00001,0.00001,0.00003,0.00002,0.00003,0.00001,0.00001,0.00001,0.00003,0.00001,0.00001,0.00002,0.00002,0.00004,0.00003,0.00001,
3                    1,0.00000,0.00002,0.00001,0.00004,0.00003,0.00006,0.00002,0.00001,0.00002,0.00006,0.00002,0.00004,0.00002,0.00005,0.00007,0.00004,0.00001,
3                    2,0.00001,0.00001,0.00001,0.00003,0.00001,0.00006,0.00002,0.00001,0.00002,0.00004,0.00002,0.00005,0.00001,0.00004,0.00006,0.00009,0.00001,
4                    1,0.00000,0.00002,0.00000,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,0.00001,0.00003,0.00001,0.00001,0.00002,0.00002,0.00002,
4                    2,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00003,0.00003,0.00003,0.00001,
4                    3,0.00000,0.00002,0.00001,0.00003,0.00002,0.00007,0.00001,0.00001,0.00002,0.00005,0.00002,0.00008,0.00002,0.00005,0.00007,0.00005,0.00002,
5                    1,0.00000,0.00002,0.00002,0.00008,0.00005,0.00010,0.00004,0.00002,0.00003,0.00013,0.00003,0.00004,0.00004,0.00008,0.00017,0.00009,0.00001,
5                    2,0.00001,0.00001,0.00002,0.00005,0.00003,0.00006,0.00004,0.00001,0.00003,0.00007,0.00003,0.00004,0.00002,0.00008,0.00010,0.00011,0.00001,
5                    3,0.00000,0.00002,0.00002,0.00004,0.00003,0.00007,0.00004,0.00001,0.00002,0.00007,0.00002,0.00003,0.00002,0.00005,0.00008,0.00007,0.00001,
5                    4,0.00001,0.00002,0.00002,0.00006,0.00004,0.00009,0.00003,0.00001,0.00003,0.00008,0.00002,0.00006,0.00003,0.00007,0.00014,0.00006,0.00002,
6                    1,0.00001,0.00002,0.00002,0.00002,0.00001,0.00005,0.00002,0.00001,0.00001,0.00004,0.00001,0.00002,0.00001,0.00004,0.00004,0.00004,0.00004,
6                    2,0.00001,0.00002,0.00002,0.00002,0.00002,0.00005,0.00002,0.00001,0.00001,0.00003,0.00001,0.00001,0.00002,0.00004,0.00004,0.00002,0.00004,
6                    3,0.00001,0.00003,0.00002,0.00005,0.00003,0.00010,0.00001,0.00001,0.00002,0.00008,0.00003,0.00006,0.00002,0.00009,0.00011,0.00008,0.00004,
6                    4,0.00001,0.00002,0.00002,0.00002,0.00001,0.00005,0.00001,0.00001,0.00001,0.00003,0.00002,0.00001,0.00001,0.00003,0.00003,0.00002,0.00005,
6                    5,0.00000,0.00002,0.00004,0.00009,0.00005,0.00013,0.00002,0.00002,0.00003,0.00012,0.00004,0.00005,0.00003,0.00009,0.00020,0.00009,0.00003,
7                    1,0.00000,0.00002,0.00001,0.00002,0.00001,0.00002,0.00002,0.00001,0.00002,0.00005,0.00002,0.00002,0.00002,0.00006,0.00002,0.00008,0.00001,
7                    2,0.00001,0.00002,0.00001,0.00002,0.00001,0.00003,0.00002,0.00001,0.00002,0.00002,0.00002,0.00002,0.00002,0.00008,0.00003,0.00009,0.00001,
7                    3,0.00000,0.00002,0.00001,0.00002,0.00002,0.00004,0.00002,0.00001,0.00002,0.00006,0.00003,0.00006,0.00002,0.00005,0.00003,0.00006,0.00001,
7                    4,0.00000,0.00002,0.00000,0.00001,0.00001,0.00002,0.00002,0.00001,0.00002,0.00002,0.00002,0.00002,0.00001,0.00005,0.00002,0.00005,0.00002,
7                    5,0.00000,0.00001,0.00002,0.00006,0.00004,0.00006,0.00002,0.00001,0.00002,0.00008,0.00002,0.00005,0.00002,0.00002,0.00010,0.00001,0.00001,
7                    6,0.00001,0.00002,0.00002,0.00003,0.00001,0.00006,0.00002,0.00001,0.00002,0.00004,0.00002,0.00001,0.00001,0.00007,0.00006,0.00007,0.00003,
8                    1,0.00000,0.00001,0.00001,0.00004,0.00003,0.00006,0.00001,0.00001,0.00001,0.00006,0.00002,0.00007,0.00002,0.00005,0.00009,0.00001,0.00001,
8                    2,0.00000,0.00001,0.00001,0.00002,0.00001,0.00004,0.00001,0.00001,0.00001,0.00004,0.00002,0.00009,0.00001,0.00005,0.00006,0.00003,0.00001,
8                    3,0.00000,0.00001,0.00001,0.00002,0.00001,0.00003,0.00001,0.00001,0.00002,0.00003,0.00001,0.00004,0.00001,0.00002,0.00003,0.00005,0.00000,
8                    4,0.00000,0.00002,0.00001,0.00003,0.00002,0.00005,0.00001,0.00001,0.00002,0.00005,0.00002,0.00013,0.00002,0.00005,0.00007,0.00003,0.00002,
8                    5,0.00001,0.00002,0.00001,0.00003,0.00002,0.00004,0.00004,0.00001,0.00003,0.00007,0.00002,0.00009,0.00002,0.00006,0.00005,0.00009,0.00001,
8                    6,0.00001,0.00003,0.00002,0.00005,0.00003,0.00009,0.00001,0.00001,0.00002,0.00009,0.00003,0.00010,0.00002,0.00009,0.00012,0.00004,0.00004,
8                    7,0.00000,0.00002,0.00001,0.00003,0.00002,0.00003,0.00002,0.00001,0.00002,0.00006,0.00003,0.00010,0.00002,0.00006,0.00004,0.00008,0.00001,
9                    1,0.00000,0.00002,0.00003,0.00002,0.00001,0.00004,0.00002,0.00001,0.00002,0.00005,0.00002,0.00002,0.00001,0.00003,0.00004,0.00008,0.00003,
9                    2,0.00000,0.00002,0.00002,0.00002,0.00001,0.00003,0.00002,0.00002,0.00002,0.00005,0.00002,0.00002,0.00002,0.00004,0.00003,0.00006,0.00003,
9                    3,0.00001,0.00002,0.00003,0.00005,0.00002,0.00008,0.00002,0.00001,0.00003,0.00009,0.00003,0.00006,0.00002,0.00005,0.00008,0.00011,0.00003,
9                    4,0.00000,0.00002,0.00002,0.00002,0.00001,0.00003,0.00002,0.00002,0.00002,0.00004,0.00002,0.00002,0.00001,0.00003,0.00004,0.00006,0.00003,
9                    5,0.00001,0.00002,0.00004,0.00008,0.00004,0.00008,0.00002,0.00002,0.00003,0.00011,0.00003,0.00004,0.00003,0.00005,0.00015,0.00005,0.00002,
9                    6,0.00001,0.00002,0.00001,0.00002,0.00001,0.00005,0.00001,0.00002,0.00002,0.00004,0.00002,0.00000,0.00001,0.00004,0.00006,0.00005,0.00001,
9                    7,0.00000,0.00001,0.00003,0.00002,0.00001,0.00004,0.00001,0.00001,0.00002,0.00003,0.00002,0.00001,0.00001,0.00003,0.00004,0.00004,0.00002,
9                    8,0.00000,0.00003,0.00003,0.00004,0.00002,0.00006,0.00002,0.00002,0.00003,0.00010,0.00003,0.00010,0.00002,0.00005,0.00007,0.00008,0.00003,
10                    1,0.00000,0.00001,0.00001,0.00002,0.00001,0.00008,0.00002,0.00001,0.00000,0.00004,0.00002,0.00001,0.00001,0.00005,0.00003,0.00002,0.00004,
10                    2,0.00000,0.00002,0.00001,0.00003,0.00002,0.00007,0.00002,0.00001,0.00001,0.00003,0.00002,0.00001,0.00001,0.00005,0.00004,0.00004,0.00004,
10                    3,0.00001,0.00003,0.00001,0.00005,0.00003,0.00016,0.00001,0.00001,0.00002,0.00008,0.00004,0.00006,0.00002,0.00011,0.00009,0.00004,0.00005,
10                    4,0.00000,0.00002,0.00001,0.00002,0.00001,0.00007,0.00001,0.00001,0.00001,0.00003,0.00002,0.00002,0.00001,0.00004,0.00003,0.00001,0.00006,
10                    5,0.00001,0.00002,0.00002,0.00009,0.00005,0.00015,0.00002,0.00002,0.00003,0.00010,0.00004,0.00005,0.00004,0.00009,0.00018,0.00006,0.00004,
10                    6,0.00000,0.00001,0.00002,0.00001,0.00001,0.00005,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00001,0.00003,0.00003,0.00003,0.00002,
10                    7,0.00001,0.00002,0.00001,0.00002,0.00002,0.00009,0.00001,0.00001,0.00002,0.00005,0.00003,0.00001,0.00002,0.00008,0.00004,0.00005,0.00003,
10                    8,0.00001,0.00002,0.00002,0.00005,0.00003,0.00013,0.00002,0.00002,0.00001,0.00009,0.00003,0.00009,0.00002,0.00011,0.00011,0.00003,0.00005,
10                    9,0.00000,0.00002,0.00003,0.00002,0.00001,0.00007,0.00001,0.00002,0.00002,0.00005,0.00002,0.00001,0.00001,0.00005,0.00006,0.00006,0.00002,
11                    1,0.00000,0.00001,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001,0.00001,0.00003,0.00000,0.00001,0.00001,0.00002,0.00002,0.00006,0.00005,
11                    2,0.00000,0.00001,0.00001,0.00002,0.00001,0.00002,0.00003,0.00001,0.00002,0.00004,0.00001,0.00001,0.00001,0.00003,0.00004,0.00010,0.00005,
11                    3,0.00000,0.00001,0.00001,0.00003,0.00002,0.00006,0.00002,0.00001,0.00002,0.00006,0.00002,0.00005,0.00002,0.00006,0.00004,0.00007,0.00005,
11                    4,0.00000,0.00002,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001,0.00002,0.00003,0.00001,0.00002,0.00001,0.00003,0.00003,0.00009,0.00006,
11                    5,0.00000,0.00002,0.00002,0.00007,0.00004,0.00007,0.00004,0.00001,0.00002,0.00013,0.00003,0.00005,0.00003,0.00009,0.00011,0.00018,0.00004,
11                    6,0.00001,0.00002,0.00002,0.00002,0.00002,0.00004,0.00002,0.00001,0.00001,0.00005,0.00001,0.00002,0.00001,0.00005,0.00006,0.00012,0.00002,
11                    7,0.00000,0.00002,0.00001,0.00001,0.00001,0.00002,0.00003,0.00001,0.00002,0.00007,0.00002,0.00002,0.00001,0.00008,0.00002,0.00017,0.00004,
11                    8,0.00000,0.00001,0.00001,0.00003,0.00002,0.00005,0.00002,0.00001,0.00001,0.00006,0.00002,0.00008,0.00002,0.00005,0.00006,0.00006,0.00005,
11                    9,0.00000,0.00003,0.00003,0.00002,0.00002,0.00002,0.00003,0.00002,0.00003,0.00009,0.00002,0.00002,0.00001,0.00005,0.00006,0.00021,0.00003,
11                    10,0.00000,0.00002,0.00001,0.00002,0.00002,0.00006,0.00002,0.00001,0.00001,0.00005,0.00002,0.00001,0.00001,0.00006,0.00004,0.00009,0.00001,
12                    1,0.00000,0.00003,0.00002,0.00004,0.00003,0.00006,0.00003,0.00002,0.00002,0.00010,0.00003,0.00002,0.00002,0.00009,0.00011,0.00013,0.00001,
12                    2,0.00000,0.00002,0.00001,0.00002,0.00002,0.00004,0.00003,0.00002,0.00003,0.00010,0.00003,0.00003,0.00001,0.00008,0.00006,0.00017,0.00001,
12                    3,0.00000,0.00003,0.00002,0.00002,0.00002,0.00005,0.00004,0.00002,0.00003,0.00008,0.00003,0.00004,0.00002,0.00012,0.00006,0.00018,0.00001,
