Acquisition date and time: 00-00-   0 (00:00:00)
Live Time:,        0
Real Time:,        0
 
Photopeaks:,    11
  12,      1.254,        113,         67,       1.47
  13,      1.487,        258,         70,       1.28
  14,      1.740,        245,         68,       1.01
  19,      3.313,         57,         70,       1.50
  20,      3.691,        253,         81,       0.98
  24,      5.412,       1295,        183,       2.66
  26,      6.399,       2542,        245,       2.44
  29,      8.041,       8064,        452,       2.10
  30,      8.631,       2441,        439,       1.51
  45,      2.696,        541,         64,       1.98
  58,      4.838,        737,        229,       1.42
