**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Ti,  0.14997,  0.08228,  0.13648,  0.15619,  0.19517,  0.24018,  0.16536,  0.04143,  0.25057,  0.27627
V,  0.00201,  0.00109,  0.00182,  0.00209,  0.00266,  0.00329,  0.00223,  0.00058,  0.26049,  0.28791
Mn,  0.02326,  0.01196,  0.02103,  0.02450,  0.03151,  0.03939,  0.02615,  0.00728,  0.27852,  0.31302
Fe,  1.27390,  0.68039,  1.15513,  1.33275,  1.69605,  2.10400,  1.41904,  0.37582,  0.26484,  0.29501
Zn,  0.00325,  0.00164,  0.00264,  0.00332,  0.00637,  0.00861,  0.00421,  0.00206,  0.48883,  0.63229
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00385,  0.01182,  0.00237,  0.00423,  1.78197,  0.00000
Pb,  0.00404,  0.00323,  0.00379,  0.00406,  0.00468,  0.00611,  0.00429,  0.00078,  0.18104,  0.19241
BC,  0.32515,  0.01669,  0.14815,  0.27677,  0.32408,  0.46212,  0.25179,  0.11853,  0.47077,  0.36455

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 12.72400,  9.88930, 13.27175, 19.09250, 29.17125, 34.96300, 21.13912,  8.31531,  0.39336,  0.65351
Na,  0.09066,  0.07072,  0.08944,  0.09238,  0.09547,  0.09994,  0.09145,  0.00664,  0.07263,  0.07326
Mg,  0.07134,  0.05822,  0.06141,  0.07995,  0.15238,  0.18890,  0.10358,  0.04744,  0.45802,  0.66503
Al,  0.65569,  0.59272,  0.64989,  0.77774,  1.30893,  1.56860,  0.94972,  0.35443,  0.37319,  0.54054
Si,  1.07590,  1.03240,  1.06570,  1.42630,  2.86140,  3.50600,  1.90071,  0.94663,  0.49804,  0.87985
P,  0.02258,  0.01882,  0.02329,  0.02506,  0.02719,  0.03079,  0.02532,  0.00272,  0.10747,  0.12049
S,  0.74117,  0.57206,  0.73202,  0.74463,  0.76654,  0.80184,  0.73667,  0.05246,  0.07121,  0.07077
Cl,  0.14603,  0.00000,  0.00522,  0.05792,  0.12908,  0.15401,  0.06433,  0.06009,  0.93407,  0.41149
K,  0.71357,  0.52098,  0.76090,  0.88882,  1.04223,  1.15260,  0.88594,  0.17183,  0.19395,  0.24080
Ca,  0.01535,  0.00000,  0.00016,  0.05592,  0.26099,  0.35215,  0.12130,  0.13583,  1.11976,  8.84974
Ti,  0.01181,  0.00988,  0.01313,  0.02492,  0.06627,  0.08459,  0.03792,  0.02803,  0.73920,  2.37458
V,  0.00115,  0.00100,  0.00120,  0.00149,  0.00212,  0.00252,  0.00164,  0.00049,  0.29974,  0.42700
Mn,  0.00040,  0.00000,  0.00088,  0.00333,  0.01045,  0.01391,  0.00539,  0.00504,  0.93504, 12.53101
Fe,  0.09323,  0.07553,  0.10919,  0.23204,  0.60091,  0.77313,  0.34153,  0.25788,  0.75506,  2.76616
Zn,  0.01831,  0.01410,  0.01940,  0.02145,  0.02433,  0.02691,  0.02152,  0.00326,  0.15153,  0.17816
Br,  0.01216,  0.00000,  0.00492,  0.01154,  0.01306,  0.01415,  0.00922,  0.00505,  0.54758,  0.41513
Pb,  0.00963,  0.00702,  0.00973,  0.01005,  0.01092,  0.01131,  0.01005,  0.00106,  0.10542,  0.11009
BC,  2.60500,  2.01820,  2.59378,  2.64620,  2.73793,  2.82520,  2.61563,  0.18896,  0.07224,  0.07254

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 61.19009, 46.28731, 51.72379, 57.17433, 59.16482, 65.24489, 56.17051,  5.17650,  0.09216,  0.08460
Na, 18.87381,  8.43746, 11.83001, 15.09324, 18.26276, 22.32960, 14.88978,  3.85382,  0.25882,  0.20419
Mg, 51.36311, 39.32878, 43.69947, 48.53629, 51.48190, 60.20390, 48.40086,  5.54178,  0.11450,  0.10789
Al, 54.36681, 41.02779, 46.07262, 50.89677, 53.87028, 59.80854, 50.56987,  5.30422,  0.10489,  0.09756
Si, 57.38141, 43.62232, 48.69871, 53.87071, 56.88598, 62.78010, 53.42865,  5.50398,  0.10302,  0.09592
P, 44.57750, 25.21194, 32.13788, 37.20470, 40.90321, 44.64502, 36.28767,  6.05944,  0.16698,  0.13593
S,  9.63708,  0.05507,  1.11683,  5.57665,  9.95351, 12.66661,  5.68067,  4.36563,  0.76851,  0.45300
Cl,  0.00000,  0.00000,  0.00000,  0.19161, 10.11769, 37.98997,  5.12501,  9.69887,  1.89246,1811544409.51627
K, 56.12497, 40.61338, 46.43640, 49.31529, 53.10754, 57.37039, 49.86077,  4.50624,  0.09038,  0.08029
Ca, 57.18534, 44.26810, 48.76592, 54.35568, 57.28548, 65.91770, 53.90887,  5.93538,  0.11010,  0.10379
Ti, 61.43495, 47.05361, 52.20099, 57.82756, 60.74623, 66.39733, 57.18323,  5.71208,  0.09989,  0.09298
V, 58.56050, 43.45726, 49.35363, 54.33165, 56.52955, 61.64967, 53.48914,  5.05098,  0.09443,  0.08625
Mn, 64.84218, 49.80507, 55.09677, 61.03323, 63.70847, 70.25183, 60.20267,  5.81114,  0.09653,  0.08962
Fe, 62.73866, 48.07661, 53.29088, 58.99919, 61.75474, 67.81555, 58.28241,  5.70267,  0.09785,  0.09090
Zn, 51.79516, 35.94360, 41.96018, 45.16594, 49.35459, 51.79516, 45.15519,  4.55142,  0.10080,  0.08787
Br,  0.00000,  0.00000,  0.00000,  0.00042,  0.34300, 15.32155,  1.90929,  4.32613,  2.26583,  0.00000
Pb, 33.18034, 22.20011, 26.84448, 29.87438, 31.54407, 35.77013, 29.18001,  3.40121,  0.11656,  0.10251
BC, 10.45300,  0.00000,  0.00037,  5.59908, 10.80079, 13.63770,  5.74327,  4.90926,  0.85478,  0.46965

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 11.55181,  3.16766,  5.30446,  8.72524, 11.82329, 12.46173,  8.40668,  3.37572,  0.40155,  0.29222
Na,  7.72610,  7.09120,  8.93337, 11.09224, 13.52819, 21.18349, 12.33211,  4.59717,  0.37278,  0.59502
Mg, 10.50788,  3.51342,  5.07340,  8.91606, 11.35628, 13.53269,  8.59149,  3.39757,  0.39546,  0.32334
Al,  9.03480,  2.75979,  3.35410,  7.32044,  9.66767, 11.42410,  7.00359,  3.16047,  0.45126,  0.34981
Si,  9.16005,  1.64070,  2.73954,  7.01359,  9.74235, 11.30444,  6.61896,  3.53131,  0.53351,  0.38551
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 13.61401,  2.17281,  4.62523,  2.12869,  0.00000
S,  8.21969,  7.56072,  9.79543, 11.84130, 16.97371, 26.34830, 14.44088,  6.23737,  0.43192,  0.75883
Cl,  3.25156,  0.00000,  3.25741, 10.64851, 13.71385, 15.32594,  8.82813,  5.22478,  0.59183,  1.60686
K, 13.10516,  6.63715,  9.54559, 11.72413, 12.93160, 15.19174, 11.11265,  2.34094,  0.21066,  0.17863
Ca, 10.27397,  1.16665,  3.46737,  8.16380, 10.96419, 12.86208,  7.42935,  4.10538,  0.55259,  0.39959
Ti,  9.61643,  0.57445,  2.20510,  6.71752, 10.18595, 11.32934,  6.38818,  3.97596,  0.62239,  0.41345
V,  8.36040,  1.33755,  3.47253,  6.79051,  8.85430,  9.63694,  6.05466,  2.87285,  0.47449,  0.34363
Mn, 10.04425,  0.00000,  1.69709,  6.46411, 10.62178, 11.27976,  6.27735,  4.24954,  0.67696,  0.42308
Fe, 10.00629,  0.66719,  2.21817,  6.79075, 10.60213, 11.46912,  6.56597,  4.03620,  0.61471,  0.40337
Zn, 10.20374,  5.74031,  7.67491,  9.62692, 10.25137, 15.45622,  9.43139,  2.37643,  0.25197,  0.23290
Br, 67.06647, 61.76097, 64.44414, 66.37308, 68.77408, 71.76350, 66.69964,  2.67720,  0.04014,  0.03992
Pb, 14.10972, 12.62599, 14.14289, 14.77058, 16.46704, 20.58581, 15.43550,  2.18239,  0.14139,  0.15467
BC,  7.32187,  6.74708,  8.79052, 10.70357, 16.20549, 27.32708, 13.73797,  6.84064,  0.49794,  0.93428

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 19.38361, 10.12034, 17.37928, 20.48776, 28.00912, 35.41606, 22.32087,  6.80068,  0.30468,  0.35085
Na, 16.83294, 13.09063, 14.12403, 16.29770, 16.87905, 17.79177, 15.67504,  1.58748,  0.10127,  0.09431
Mg, 32.27749, 20.40278, 29.77368, 33.40848, 39.45800, 46.91931, 34.49985,  6.76194,  0.19600,  0.20949
Al, 28.45461, 17.15466, 26.13658, 29.46436, 35.21005, 42.33396, 30.61418,  6.48747,  0.21191,  0.22799
Si, 28.16198, 16.38085, 25.80694, 29.24567, 35.46768, 43.03975, 30.58124,  6.91817,  0.22622,  0.24566
P,  0.68951,  0.00000,  0.00000,  0.00000,  0.00000,  1.20989,  0.09497,  0.30426,  3.20372,  0.44127
S, 13.57536,  5.79240,  9.29003, 12.66210, 13.60114, 16.15210, 11.68418,  2.91894,  0.24982,  0.21502
Cl, 81.53117, 62.01003, 76.38702, 81.30920, 84.04909, 84.62458, 79.34029,  6.32505,  0.07972,  0.07758
K,  7.25307,  3.33167,  6.07100,  7.68121, 15.13115, 20.37745,  9.78974,  4.97731,  0.50842,  0.68623
Ca, 32.03953, 19.07369, 29.46812, 33.31271, 40.05091, 48.35052, 34.69435,  7.55488,  0.21776,  0.23580
Ti, 26.83619, 14.75812, 24.46387, 27.98711, 34.97007, 43.07303, 29.63161,  7.43077,  0.25077,  0.27689
V, 21.06012, 11.41196, 19.03684, 21.88018, 27.80292, 34.41178, 23.30953,  6.07680,  0.26070,  0.28855
Mn, 24.68642, 12.71909, 22.35304, 26.03484, 33.48259, 41.89589, 27.78538,  7.74472,  0.27873,  0.31372
Fe, 25.39650, 13.59651, 23.06881, 26.61104, 33.85846, 42.03849, 28.33142,  7.50929,  0.26505,  0.29568
Zn,  5.73598,  2.89247,  4.64735,  5.85139, 11.25141, 15.21205,  7.42923,  3.63410,  0.48916,  0.63356
