**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 10

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Mn,  0.00234,  0.00179,  0.00206,  0.00225,  0.00259,  0.00391,  0.00245,  0.00061,  0.24844,  0.26087
Fe,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.09239,  0.01240,  0.02723,  2.19679,  0.00000
Zn,  0.00264,  0.00229,  0.00264,  0.00280,  0.00294,  0.00335,  0.00281,  0.00025,  0.08812,  0.09365
Br,  0.00449,  0.00406,  0.00420,  0.00450,  0.00473,  0.00488,  0.00445,  0.00027,  0.06091,  0.06033
Pb,  0.00173,  0.00155,  0.00169,  0.00175,  0.00185,  0.00193,  0.00176,  0.00010,  0.05528,  0.05618

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  9.74690,  7.35870,  9.80948, 11.10600, 11.22075, 11.86200, 10.59174,  1.09428,  0.10331,  0.11227
Na,  0.53260,  0.53199,  0.53216,  0.53242,  0.53270,  0.53281,  0.53242,  0.00028,  0.00052,  0.00052
Mg,  0.04273,  0.03382,  0.04162,  0.04425,  0.05063,  0.05212,  0.04480,  0.00571,  0.12750,  0.13370
Al,  0.21260,  0.08100,  0.23082,  0.30157,  0.31042,  0.34216,  0.27062,  0.06427,  0.23748,  0.30230
Si,  0.54584,  0.24387,  0.54775,  0.71293,  0.73857,  0.80428,  0.65027,  0.13883,  0.21349,  0.25434
P,  0.00085,  0.00000,  0.00190,  0.00275,  0.00300,  0.00337,  0.00235,  0.00095,  0.40581,  1.11796
S,  0.03508,  0.02384,  0.02947,  0.03701,  0.04896,  0.05228,  0.03889,  0.00951,  0.24445,  0.27101
Cl,  1.14440,  1.14440,  1.15673,  1.15900,  1.18263,  1.18450,  1.16396,  0.01391,  0.01195,  0.01216
K,  0.00000,  0.00000,  0.00000,  0.00003,  0.02280,  0.02803,  0.00873,  0.01149,  1.31713,  0.00000
Ca,  0.32843,  0.23674,  0.33935,  0.38836,  0.39348,  0.41701,  0.36712,  0.04410,  0.12012,  0.13427
Ti,  0.02141,  0.00963,  0.02214,  0.02845,  0.02898,  0.03223,  0.02584,  0.00548,  0.21204,  0.25589
V,  0.00029,  0.00012,  0.00029,  0.00039,  0.00040,  0.00044,  0.00035,  0.00008,  0.22697,  0.27642
Mn,  0.00223,  0.00080,  0.00219,  0.00279,  0.00298,  0.00339,  0.00258,  0.00063,  0.24410,  0.28219
Fe,  0.25815,  0.15160,  0.26951,  0.32486,  0.33056,  0.36011,  0.30079,  0.05035,  0.16739,  0.19504
Zn,  0.00299,  0.00251,  0.00359,  0.00404,  0.00441,  0.00463,  0.00391,  0.00059,  0.15039,  0.19696
Br,  0.00079,  0.00038,  0.00054,  0.00078,  0.00108,  0.00123,  0.00083,  0.00027,  0.33120,  0.34729
Pb,  0.00059,  0.00052,  0.00069,  0.00076,  0.00098,  0.00100,  0.00079,  0.00015,  0.18704,  0.25308

Percent of Species Sum

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 30.78448, 18.81066, 23.09513, 30.00065, 32.06906, 35.25975, 28.34685,  4.97109,  0.17537,  0.16148
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Mg, 11.86901,  0.00021,  4.85644, 12.83411, 15.25590, 17.11849, 10.56742,  5.65776,  0.53540,  0.47668
Al, 39.80088, 26.97928, 31.34592, 38.12019, 40.46454, 44.64813, 36.77563,  5.08646,  0.13831,  0.12780
