**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 12

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.86130,  1.85100,  1.86210,  1.88820,  2.54355,  2.60400,  2.09133,  0.33035,  0.15796,  0.17748
Na,  0.03288,  0.00000,  0.00479,  0.02614,  0.02887,  0.03309,  0.01978,  0.01266,  0.64019,  0.38516
Mg,  0.00000,  0.00000,  0.00000,  0.00000,  0.00211,  0.00779,  0.00173,  0.00308,  1.78035,  0.00000
Al,  0.03736,  0.00000,  0.03781,  0.03897,  0.04124,  0.05800,  0.03861,  0.01511,  0.39130,  0.40448
Si,  0.06648,  0.02381,  0.06778,  0.07037,  0.07828,  0.13085,  0.07744,  0.02996,  0.38682,  0.45061
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
S,  0.03881,  0.03845,  0.03905,  0.04069,  0.08061,  0.11631,  0.05644,  0.02623,  0.46475,  0.67576
Cl,  0.18242,  0.08397,  0.08983,  0.17028,  0.17527,  0.18454,  0.14470,  0.04090,  0.28264,  0.22420
K,  0.02511,  0.02474,  0.02605,  0.02855,  0.09532,  0.14346,  0.05382,  0.04112,  0.76410,  1.63747
Ca,  0.10130,  0.00000,  0.05922,  0.09958,  0.10094,  0.10374,  0.08101,  0.03233,  0.39903,  0.31912
Ti,  0.00538,  0.00015,  0.00518,  0.00538,  0.00546,  0.00559,  0.00484,  0.00161,  0.33297,  0.29951
V,  0.00016,  0.00000,  0.00010,  0.00016,  0.00016,  0.00016,  0.00013,  0.00005,  0.38775,  0.31507
Mn,  0.00104,  0.00086,  0.00105,  0.00106,  0.00110,  0.00134,  0.00109,  0.00014,  0.12588,  0.13275
Fe,  0.02847,  0.02038,  0.02862,  0.02961,  0.03151,  0.04741,  0.03209,  0.00811,  0.25276,  0.28487
Zn,  0.00114,  0.00114,  0.00115,  0.00118,  0.00205,  0.00355,  0.00160,  0.00076,  0.47254,  0.66449
Br,  0.00509,  0.00348,  0.00452,  0.00509,  0.00509,  0.00509,  0.00481,  0.00051,  0.10569,  0.09984
Pb,  0.00177,  0.00144,  0.00175,  0.00177,  0.00178,  0.00179,  0.00174,  0.00010,  0.05808,  0.05707

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  4.26590,  3.90350,  4.22223,  4.27520,  4.41110,  5.28460,  4.41986,  0.44183,  0.09996,  0.10357
Na,  0.52030,  0.51707,  0.51832,  0.52075,  0.53842,  0.56382,  0.53084,  0.01768,  0.03330,  0.03397
Mg,  0.06291,  0.05732,  0.06257,  0.06292,  0.07196,  0.07745,  0.06632,  0.00638,  0.09623,  0.10144
Al,  0.05433,  0.02263,  0.05423,  0.05585,  0.06504,  0.12404,  0.06654,  0.02914,  0.43784,  0.53626
Si,  0.16546,  0.09747,  0.16477,  0.16888,  0.17899,  0.31786,  0.19138,  0.06371,  0.33289,  0.38504
P,  0.00035,  0.00028,  0.00032,  0.00038,  0.00040,  0.00047,  0.00037,  0.00005,  0.14138,  0.14866
S,  0.03083,  0.02497,  0.02566,  0.03071,  0.03081,  0.03170,  0.02919,  0.00259,  0.08867,  0.08398
Cl,  0.93832,  0.92987,  0.93407,  0.93619,  0.97112,  1.03540,  0.95831,  0.04008,  0.04183,  0.04272
K,  0.00490,  0.00000,  0.00000,  0.00479,  0.00502,  0.00509,  0.00312,  0.00227,  0.72715,  0.46342
Ca,  0.13387,  0.11844,  0.13169,  0.13459,  0.13844,  0.17861,  0.14056,  0.01946,  0.13845,  0.14537
Ti,  0.00631,  0.00424,  0.00631,  0.00638,  0.00661,  0.01149,  0.00717,  0.00216,  0.30098,  0.34195
V,  0.00013,  0.00009,  0.00013,  0.00013,  0.00014,  0.00023,  0.00015,  0.00004,  0.29765,  0.33357
Mn,  0.00068,  0.00040,  0.00068,  0.00070,  0.00072,  0.00129,  0.00078,  0.00026,  0.32775,  0.37571
Fe,  0.07733,  0.05905,  0.07588,  0.07824,  0.08014,  0.12312,  0.08463,  0.01924,  0.22733,  0.24878
Zn,  0.00132,  0.00025,  0.00114,  0.00130,  0.00135,  0.00146,  0.00119,  0.00033,  0.27992,  0.25225
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  7.76690,  7.12090,  7.63455,  7.90185,  8.16798,  8.30900,  7.85385,  0.32450,  0.04132,  0.04178
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.00272,  0.00839,  0.00153,  0.00253,  1.65580,  0.00000
Mg,  0.08012,  0.08011,  0.08015,  0.08182,  0.08906,  0.08994,  0.08369,  0.00403,  0.04813,  0.05028
Al,  0.57564,  0.54316,  0.56927,  0.58453,  0.60715,  0.62022,  0.58605,  0.02168,  0.03699,  0.03766
Si,  1.27400,  1.19410,  1.25533,  1.29555,  1.34585,  1.36840,  1.29463,  0.04904,  0.03788,  0.03849
P,  0.00275,  0.00078,  0.00214,  0.00244,  0.00294,  0.00332,  0.00239,  0.00071,  0.29637,  0.25762
S,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01044,  0.00104,  0.00321,  3.07669,  0.00000
Cl,  0.15979,  0.13762,  0.14927,  0.16522,  0.16796,  0.17746,  0.15970,  0.01204,  0.07540,  0.07536
K,  0.05741,  0.05425,  0.05670,  0.05813,  0.06116,  0.07522,  0.06001,  0.00560,  0.09331,  0.09753
Ca,  0.29661,  0.25991,  0.27983,  0.29619,  0.30627,  0.32279,  0.29436,  0.01761,  0.05982,  0.05937
Ti,  0.04159,  0.03842,  0.04085,  0.04155,  0.04389,  0.04428,  0.04202,  0.00170,  0.04054,  0.04096
V,  0.00072,  0.00068,  0.00071,  0.00073,  0.00076,  0.00077,  0.00073,  0.00003,  0.03756,  0.03816
Mn,  0.00523,  0.00492,  0.00516,  0.00531,  0.00552,  0.00562,  0.00533,  0.00020,  0.03810,  0.03886
Fe,  0.39010,  0.35605,  0.37820,  0.38970,  0.41058,  0.41735,  0.39246,  0.01751,  0.04463,  0.04490
Zn,  0.00084,  0.00000,  0.00034,  0.00061,  0.00098,  0.00122,  0.00060,  0.00040,  0.66426,  0.47280
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Pb,  0.00058,  0.00045,  0.00054,  0.00056,  0.00060,  0.00066,  0.00056,  0.00005,  0.09449,  0.09170

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
