"Sample    : WO3 15769",
"Operator  : luisf",
"Comment  : cubatao-g-policarbonato",
"Group     : kerr2007ag180cal_lt",
"Date       : 2010-05-26 01:16:02",
"",
"Mesurement Condition",
"------------------------------------------------------------------------------------",
"Instrument : 700HS2   Atmosphere : Vac.   Collimator : 10(mm)   Spin : No",
"------------------------------------------------------------------------------------",
"Analyte               TG kV   uA      FI Acq.(keV)  Anal.(keV)  Time(sec)     DT(%)",
"------------------------------------------------------------------------------------",
"Na                    Rh 50  210-Auto Al  0 - 20    0.8 - 1.2   Live -  179   14",
"",
"<Profile>",
"Channel_info_start",
"Channel : Na",
"Points : 2048",
"Range : 0.000000 - 20.480000",
"Step : 0.010000",
"Channel_info_end",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"1",
"17",
"32",
"31",
"34",
"25",
"26",
"19",
"26",
"19",
"26",
"23",
"21",
"25",
"29",
"31",
"23",
"28",
"21",
"29",
"17",
"14",
"23",
"32",
"23",
"26",
"25",
"19",
"17",
"23",
"21",
"23",
"25",
"24",
"19",
"18",
"21",
"23",
"22",
"24",
"13",
"18",
"28",
"16",
"22",
"16",
"23",
"15",
"22",
"25",
"17",
"15",
"14",
"21",
"22",
"21",
"17",
"19",
"19",
"17",
"18",
"15",
"23",
"18",
"24",
"18",
"19",
"11",
"23",
"13",
"12",
"24",
"21",
"24",
"24",
"26",
"14",
"23",
"22",
"22",
"29",
"21",
"31",
"24",
"21",
"17",
"15",
"23",
"26",
"21",
"29",
"25",
"35",
"21",
"23",
"23",
"22",
"26",
"47",
"30",
"49",
"48",
"77",
"88",
"104",
"136",
"159",
"206",
"184",
"188",
"201",
"240",
"210",
"190",
"152",
"164",
"136",
"109",
"99",
"69",
"89",
"89",
"69",
"84",
"75",
"71",
"70",
"73",
"95",
"93",
"130",
"101",
"128",
"125",
"135",
"158",
"180",
"216",
"276",
"377",
"511",
"606",
"865",
"1130",
"1543",
"1844",
"2256",
"2574",
"3029",
"3148",
"3471",
"3367",
"3585",
"3267",
"3092",
"2875",
"2581",
"2126",
"1919",
"1521",
"1237",
"986",
"723",
"563",
"456",
"315",
"269",
"257",
"210",
"171",
"229",
"240",
"239",
"261",
"283",
"269",
"249",
"245",
"205",
"190",
"170",
"142",
"119",
"83",
"91",
"65",
"68",
"48",
"57",
"40",
"39",
"50",
"45",
"38",
"43",
"51",
"56",
"69",
"83",
"79",
"94",
"99",
"105",
"109",
"123",
"117",
"114",
"110",
"90",
"87",
"77",
"55",
"62",
"55",
"34",
"26",
"29",
"27",
"24",
"16",
"28",
"23",
"16",
"18",
"21",
"19",
"18",
"14",
"26",
"15",
"16",
"24",
"29",
"12",
"24",
"19",
"25",
"22",
"19",
"26",
"36",
"21",
"30",
"25",
"31",
"24",
"19",
"22",
"24",
"19",
"21",
"26",
"17",
"25",
"19",
"26",
"23",
"11",
"24",
"14",
"21",
"17",
"21",
"15",
"19",
"10",
"18",
"15",
"14",
"22",
"12",
"11",
"15",
"15",
"12",
"14",
"12",
"16",
"12",
"17",
"9",
"13",
"16",
"21",
"17",
"12",
"16",
"23",
"16",
"12",
"23",
"14",
"19",
"19",
"13",
"9",
"12",
"11",
"13",
"14",
"17",
"6",
"15",
"24",
"14",
"13",
"16",
"14",
"31",
"15",
"19",
"18",
"18",
"19",
"18",
"21",
"13",
"18",
"19",
"16",
"12",
"26",
"25",
"31",
"38",
"37",
"60",
"54",
"82",
"101",
"120",
"169",
"214",
"219",
"272",
"361",
"372",
"396",
"451",
"457",
"522",
"454",
"433",
"425",
"409",
"303",
"251",
"200",
"207",
"152",
"122",
"83",
"75",
"60",
"48",
"50",
"54",
"45",
"47",
"49",
"47",
"43",
"48",
"47",
"61",
"47",
"56",
"68",
"66",
"66",
