"Sample    : fe6588d",
"Operator  : américo",
"Comment  : ",
"Group     : kerr2007ag180cal_lt",
"Date       : 2011-04-08 04:03:46",
"",
"Mesurement Condition",
"------------------------------------------------------------------------------------",
"Instrument : 700HS2   Atmosphere : Vac.   Collimator : 10(mm)   Spin : No",
"------------------------------------------------------------------------------------",
"Analyte               TG kV   uA      FI Acq.(keV)  Anal.(keV)  Time(sec)     DT(%)",
"------------------------------------------------------------------------------------",
"Na                    Rh 50  187-Auto Al  0 - 20    0.8 - 1.2   Live -  180   16",
"",
"<Profile>",
"Channel_info_start",
"Channel : Na",
"Points : 2048",
"Range : 0.000000 - 20.480000",
"Step : 0.010000",
"Channel_info_end",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"0",
"1",
"0",
"6",
"9",
"8",
"15",
"8",
"15",
"13",
"10",
"8",
"15",
"7",
"15",
"10",
"7",
"11",
"7",
"13",
"15",
"13",
"10",
"10",
"10",
"17",
"9",
"9",
"9",
"15",
"14",
"11",
"10",
"8",
"16",
"12",
"17",
"13",
"25",
"10",
"17",
"22",
"33",
"29",
"26",
"34",
"32",
"17",
"24",
"21",
"21",
"24",
"13",
"12",
"10",
"9",
"16",
"11",
"10",
"16",
"8",
"14",
"11",
"6",
"10",
"10",
"12",
"11",
"12",
"6",
"9",
"10",
"11",
"14",
"12",
"13",
"8",
"12",
"10",
"8",
"13",
"9",
"13",
"11",
"10",
"8",
"7",
"13",
"8",
"12",
"10",
"7",
"15",
"7",
"10",
"8",
"6",
"12",
"12",
"11",
"12",
"7",
"17",
"11",
"6",
"19",
"12",
"10",
"16",
"20",
"10",
"13",
"13",
"12",
"13",
"17",
"20",
"14",
"16",
"11",
"17",
"15",
"25",
"24",
"21",
"19",
"19",
"13",
"22",
"12",
"23",
"17",
"16",
"13",
"17",
"16",
"11",
"12",
"14",
"26",
"20",
"25",
"12",
"26",
"22",
"22",
"20",
"27",
"27",
"25",
"25",
"13",
"20",
"11",
"12",
"22",
"12",
"19",
"10",
"11",
"17",
"14",
"11",
"14",
"22",
"14",
"11",
"11",
"7",
"14",
"12",
"10",
"15",
"19",
"11",
"10",
"11",
"10",
"10",
"15",
"20",
"19",
"8",
"8",
"13",
"10",
"11",
"10",
"13",
"16",
"16",
"9",
"24",
"6",
"17",
"13",
"16",
"20",
"17",
"21",
"42",
"28",
"29",
"34",
"12",
"29",
"30",
"28",
"32",
"17",
"24",
"12",
"30",
"19",
"15",
"9",
"19",
"12",
"6",
"10",
"12",
"11",
"13",
"4",
"14",
"14",
"5",
"8",
"15",
"11",
"11",
"11",
"12",
"15",
"16",
"23",
"15",
"15",
"23",
"11",
"21",
"23",
"17",
"14",
"12",
"9",
"13",
"15",
"8",
"10",
"12",
"10",
"11",
"10",
"9",
"7",
"17",
"22",
"13",
"9",
"13",
"14",
"14",
"11",
"19",
"9",
"9",
"13",
"14",
"14",
"6",
"9",
"8",
"10",
"13",
"12",
"23",
"10",
"8",
"11",
"10",
"15",
"15",
"8",
"11",
"7",
"13",
"14",
"7",
"11",
"8",
"8",
"12",
"5",
"5",
"5",
"8",
"9",
"8",
"11",
"6",
"6",
"9",
"13",
"6",
"6",
"8",
"13",
"16",
"13",
"13",
"7",
"8",
"14",
"14",
"9",
"8",
"6",
"9",
"9",
"14",
"7",
"10",
"14",
"17",
"7",
"10",
"12",
"9",
"6",
"7",
"12",
"15",
"14",
"8",
"8",
"7",
"10",
"14",
"16",
"16",
"12",
"14",
"11",
"8",
"17",
"14",
"15",
"19",
"13",
"15",
"16",
"19",
"8",
"22",
"12",
"22",
"22",
"14",
"14",
"23",
"11",
"24",
"22",
"21",
"10",
"20",
"19",
"19",
"19",
"14",
"24",
"16",
"16",
"16",
"24",
"23",
"19",
"19",
"14",
"12",
"21",
"23",
"15",
"17",
"25",
"21",
"11",
"14",
"24",
"19",
"14",
"20",
"20",
"13",
"19",
"28",
"22",
"12",
"13",
"14",
"19",
"13",
"26",
"24",
"19",
"25",
"30",
"16",
"23",
"20",
"20",
"30",
"20",
"22",
"26",
"32",
"29",
"34",
"23",
"34",
"35",
"36",
"50",
"31",
"43",
"62",
"47",
"63",
"89",
"85",
"100",
"112",
"123",
"106",
"117",
"146",
"168",
"171",
"171",
"154",
"135",
"121",
"121",
"118",
"93",
"91",
"72",
"56",
"43",
"45",
"44",
"31",
"43",
"37",
"38",
"34",
"37",
"27",
"31",
"39",
"23",
"45",
"39",
"45",
"27",
"26",
"46",
"36",
"31",
"43",
"42",
"52",
"36",
"37",
"43",
"46",
"39",
"33",
"31",
"43",
"50",
"56",
"45",
"48",
"32",
"42",
"48",
"42",
"49",
"48",
"44",
"47",
"42",
"63",
"61",
"46",
"52",
"62",
"53",
"69",
"61",
"69",
"64",
"57",
"63",
"84",
"67",
"73",
"86",
"88",
"79",
"73",
"83",
"76",
"69",
"65",
"56",
"83",
"73",
"74",
"62",
"66",
"69",
"76",
"70",
"63",
"61",
"62",
"52",
"73",
"69",
"66",
"86",
"74",
"65",
"82",
"67",
"52",
"60",
"59",
"64",
"48",
"53",
"78",
"65",
"62",
"64",
"71",
"61",
"57",
"71",
"72",
"65",
"84",
"75",
"75",
"63",
"82",
"83",
"79",
"74",
"81",
"66",
"71",
"100",
"95",
"94",
"74",
"93",
"92",
"88",
"117",
"100",
"118",
"121",
"118",
"108",
"136",
"143",
"115",
"127",
"149",
"140",
"168",
"158",
"194",
"169",
"220",
"247",
"299",
"325",
"437",
"592",
"769",
"1090",
"1663",
"2184",
"3131",
"3936",
"5539",
"7191",
"9509",
"11336",
"14377",
"17717",
"21376",
"23288",
"27053",
"29997",
"32729",
"33240",
"36918",
"35287",
"35833",
"33131",
"31991",
"29091",
"26840",
"22580",
"20511",
"16808",
"14366",
"11010",
"9059",
"6811",
"5351",
"3891",
"2880",
"1967",
"1484",
"988",
"668",
"543",
"384",
"233",
"223",
"200",
"169",
"155",
"151",
"148",
"140",
"164",
"148",
"145",
"150",
"137",
"141",
"155",
"146",
"145",
"154",
"161",
"171",
"169",
"193",
"207",
"252",
"261",
"350",
"396",
"527",
"602",
"770",
"947",
"1146",
"1304",
"1656",
"2049",
"2368",
"2611",
"3192",
"3412",
"3708",
"4009",
"4263",
"4542",
"4573",
"4416",
"4526",
"4288",
"4053",
"3525",
"3341",
"2962",
"2605",
"2163",
"1898",
"1523",
"1286",
"1024",
"752",
"581",
"467",
"350",
"275",
"211",
"145",
"127",
"114",
"101",
"81",
"91",
"79",
"65",
"67",
"79",
"79",
"84",
"100",
"104",
"102",
"124",
"112",
"120",
"130",
"138",
"144",
"149",
"138",
"138",
"134",
"156",
"131",
"131",
"131",
"111",
"106",
"114",
"99",
"98",
"83",
"89",
"71",
"74",
"85",
"74",
"87",
"65",
"65",
"63",
"72",
"47",
"53",
"43",
"81",
"61",
"76",
"89",
"81",
"70",
"58",
"60",
"78",
"66",
"67",
"70",
"79",
"60",
"59",
"65",
"69",
"68",
"74",
"61",
"53",
"66",
"74",
"70",
"56",
"59",
"101",
"94",
"75",
"69",
"69",
"74",
"68",
"73",
